ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
33771,Wireless80211,KE,41.203.211.3,41.80.27.208,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561377694564+0000)/,1.1.1.1,4131,NoError,remote
33771,Wireless80211,KE,41.203.211.3,41.80.27.208,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561377695354+0000)/,8.8.8.8,15,NoError,remote
33771,Wireless80211,KE,41.203.211.3,41.80.27.208,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561377696846+0000)/,9.9.9.9,56,Refused,remote
37284,Ethernet,LY,165.16.127.0,165.16.127.120,Aljeel-net,23b638f2-ec7d-479c-aff5-11fb87065426,/Date(1561377690122+0000)/,,1,NoError,local
37284,Ethernet,LY,165.16.127.0,165.16.127.120,Aljeel-net,23b638f2-ec7d-479c-aff5-11fb87065426,/Date(1561377690886+0000)/,1.1.1.1,35,NoError,remote
37284,Ethernet,LY,165.16.127.0,165.16.127.120,Aljeel-net,23b638f2-ec7d-479c-aff5-11fb87065426,/Date(1561377691291+0000)/,8.8.8.8,34,NoError,remote
37284,Ethernet,LY,165.16.127.0,165.16.127.120,Aljeel-net,23b638f2-ec7d-479c-aff5-11fb87065426,/Date(1561377691940+0000)/,9.9.9.9,56,Refused,remote
36903,Ethernet,MA,81.192.21.50,105.158.220.233,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561377692769+0000)/,,3,NoError,local
6713,Wireless80211,MA,81.192.21.58,102.79.225.155,Maroc Telecom,5a99a7f5-8020-4ce8-a94c-90a98021d060,/Date(1561377692907+0000)/,,50,NoError,local
36903,Ethernet,MA,81.192.17.18,196.75.171.233,Maroc Telecom,b1c7e2b2-7810-46d9-9cb8-5c8dd3bef198,/Date(1561377693208+0000)/,,1,NoError,local
36903,Ethernet,MA,172.253.12.2,196.77.46.42,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561377696001+0000)/,,371,NoError,local
36903,Wireless80211,MA,81.192.17.86,160.179.251.242,Maroc Telecom ADSL,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561377701770+0000)/,,4122,NoError,local
36903,Ethernet,MA,81.192.21.50,105.158.220.233,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561377693750+0000)/,1.1.1.1,23,NoError,remote
36903,Ethernet,MA,81.192.17.18,196.75.171.233,Maroc Telecom,b1c7e2b2-7810-46d9-9cb8-5c8dd3bef198,/Date(1561377693925+0000)/,1.1.1.1,26,NoError,remote
6713,Wireless80211,MA,81.192.21.58,102.79.225.155,Maroc Telecom,5a99a7f5-8020-4ce8-a94c-90a98021d060,/Date(1561377693977+0000)/,1.1.1.1,61,NoError,remote
36903,Ethernet,MA,172.253.12.2,196.77.46.42,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561377698428+0000)/,1.1.1.1,308,NoError,remote
36903,Wireless80211,MA,81.192.17.86,160.179.251.242,Maroc Telecom ADSL,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561377699064+0000)/,1.1.1.1,273,NoError,remote
36903,Ethernet,MA,81.192.17.18,196.75.171.233,Maroc Telecom,b1c7e2b2-7810-46d9-9cb8-5c8dd3bef198,/Date(1561377694791+0000)/,8.8.8.8,26,NoError,remote
36903,Ethernet,MA,81.192.21.50,105.158.220.233,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561377694797+0000)/,8.8.8.8,23,NoError,remote
6713,Wireless80211,MA,81.192.21.58,102.79.225.155,Maroc Telecom,5a99a7f5-8020-4ce8-a94c-90a98021d060,/Date(1561377695092+0000)/,8.8.8.8,112,NoError,remote
36903,Wireless80211,MA,81.192.17.86,160.179.251.242,Maroc Telecom ADSL,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561377700237+0000)/,8.8.8.8,164,NoError,remote
36903,Ethernet,MA,172.253.12.2,196.77.46.42,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561377700812+0000)/,8.8.8.8,473,NoError,remote
36903,Ethernet,MA,81.192.21.50,105.158.220.233,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561377695660+0000)/,9.9.9.9,57,Refused,remote
6713,Wireless80211,MA,81.192.21.58,102.79.225.155,Maroc Telecom,5a99a7f5-8020-4ce8-a94c-90a98021d060,/Date(1561377695925+0000)/,9.9.9.9,78,Refused,remote
36903,Wireless80211,MA,81.192.17.86,160.179.251.242,Maroc Telecom ADSL,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561377701622+0000)/,9.9.9.9,715,NoError,remote
36903,Ethernet,MA,172.253.12.2,196.77.46.42,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561377703914+0000)/,9.9.9.9,430,NoError,remote
37054,Wireless80211,MG,41.188.17.27,154.126.10.4,Telecom-Malagasy,3128073b-0ec5-4e7f-b1e1-85e99b36379b,/Date(1561377696054+0000)/,,32,Refused,local
37054,Wireless80211,MG,41.188.17.27,154.126.10.4,Telecom-Malagasy,3128073b-0ec5-4e7f-b1e1-85e99b36379b,/Date(1561377697718+0000)/,1.1.1.1,73,NoError,remote
37054,Wireless80211,MG,41.188.17.27,154.126.10.4,Telecom-Malagasy,3128073b-0ec5-4e7f-b1e1-85e99b36379b,/Date(1561377699226+0000)/,8.8.8.8,35,Refused,remote
37054,Wireless80211,MG,41.188.17.27,154.126.10.4,Telecom-Malagasy,3128073b-0ec5-4e7f-b1e1-85e99b36379b,/Date(1561377700827+0000)/,9.9.9.9,69,Refused,remote
36923,Ethernet,NG,192.221.154.138,41.58.76.104,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561377703634+0000)/,,51,NoError,local
37148,Wireless80211,NG,,129.205.113.214,globacom,25667a08-a6d9-408c-bbf4-e2bd2774a5e6,/Date(1561377705014+0000)/,,176,NoError,local
29465,Ppp,NG,197.210.54.0,94.75.218.175,Static Nat For Gprs/wimax/corporate Network,0b678a50-33f3-4ae9-88b6-f2111fdc634d,/Date(1561377720278+0000)/,,9292,NoError,local
37148,Wireless80211,NG,,129.205.113.214,globacom,25667a08-a6d9-408c-bbf4-e2bd2774a5e6,/Date(1561377707010+0000)/,1.1.1.1,92,ServFail,remote
36923,Ethernet,NG,192.221.154.138,41.58.76.104,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561377708242+0000)/,1.1.1.1,4000,NoError,remote
29465,Ppp,NG,197.210.54.0,94.75.218.175,Static Nat For Gprs/wimax/corporate Network,0b678a50-33f3-4ae9-88b6-f2111fdc634d,/Date(1561377715792+0000)/,1.1.1.1,3174,NoError,remote
37148,Wireless80211,NG,,129.205.113.214,globacom,25667a08-a6d9-408c-bbf4-e2bd2774a5e6,/Date(1561377709410+0000)/,8.8.8.8,240,NoError,remote
36923,Ethernet,NG,192.221.154.138,41.58.76.104,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561377713498+0000)/,8.8.8.8,4001,NoError,remote
29465,Ppp,NG,197.210.54.0,94.75.218.175,Static Nat For Gprs/wimax/corporate Network,0b678a50-33f3-4ae9-88b6-f2111fdc634d,/Date(1561377715493+0000)/,8.8.8.8,1943,NoError,remote
37148,Wireless80211,NG,,129.205.113.214,globacom,25667a08-a6d9-408c-bbf4-e2bd2774a5e6,/Date(1561377713783+0000)/,9.9.9.9,2109,Refused,remote
29465,Ppp,NG,197.210.54.0,94.75.218.175,Static Nat For Gprs/wimax/corporate Network,0b678a50-33f3-4ae9-88b6-f2111fdc634d,/Date(1561377718115+0000)/,9.9.9.9,259,NoError,remote
36923,Ethernet,NG,192.221.154.138,41.58.76.104,SWIFTNG,87c9d1f1-b3f3-47b9-b652-6c7a665cf6f5,/Date(1561377718272+0000)/,9.9.9.9,4001,NoError,remote
37164,Ethernet,SL,41.191.251.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561377702489+0000)/,,2,NoError,local
37164,Ethernet,SL,41.191.251.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561377703863+0000)/,1.1.1.1,185,NoError,remote
37164,Ethernet,SL,41.191.251.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561377706938+0000)/,8.8.8.8,192,NoError,remote
37164,Ethernet,SL,41.191.251.0,197.215.105.10,Airtel(SL) Ltd,ddedba94-69fb-472d-9645-84ffb318895b,/Date(1561377708571+0000)/,9.9.9.9,315,Refused,remote
