ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
37545,Ethernet,BI,41.79.227.136,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561164672589+0000)/,,4,NoError,local
37545,Ethernet,BI,41.79.227.136,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561164674049+0000)/,1.1.1.1,77,ServFail,remote
37545,Ethernet,BI,41.79.227.136,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561164675117+0000)/,8.8.8.8,31,NoError,remote
37545,Ethernet,BI,41.79.227.136,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561164676101+0000)/,9.9.9.9,3,Refused,remote
29571,Wireless80211,CI,213.136.116.50,160.154.136.199,Orange Cote d'Ivoire,bda903ad-8c86-4854-ad2d-f5431db92fbb,/Date(1561164675283+0000)/,,255,NoError,local
29571,Wireless80211,CI,154.68.9.21,154.68.5.112,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561164679817+0000)/,,24,NoError,local
29571,Wireless80211,CI,213.136.116.50,160.154.136.199,Orange Cote d'Ivoire,bda903ad-8c86-4854-ad2d-f5431db92fbb,/Date(1561164677066+0000)/,1.1.1.1,231,NoError,remote
29571,Wireless80211,CI,154.68.9.21,154.68.5.112,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561164679813+0000)/,1.1.1.1,117,NoError,remote
29571,Wireless80211,CI,213.136.116.50,160.154.136.199,Orange Cote d'Ivoire,bda903ad-8c86-4854-ad2d-f5431db92fbb,/Date(1561164679134+0000)/,8.8.8.8,278,NoError,remote
29571,Wireless80211,CI,154.68.9.21,154.68.5.112,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561164681034+0000)/,8.8.8.8,161,NoError,remote
29571,Wireless80211,CI,213.136.116.50,160.154.136.199,Orange Cote d'Ivoire,bda903ad-8c86-4854-ad2d-f5431db92fbb,/Date(1561164680857+0000)/,9.9.9.9,102,NoError,remote
29571,Wireless80211,CI,154.68.9.21,154.68.5.112,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561164682639+0000)/,9.9.9.9,33,Refused,remote
30992,Wireless80211,CM,212.72.53.209,129.0.79.245,MTN Cameroon,1ebc4dd3-da8a-4d6e-ab66-c49518532876,/Date(1561164696907+0000)/,,9009,NoError,local
30992,Wireless80211,CM,212.72.53.209,129.0.79.245,MTN Cameroon,1ebc4dd3-da8a-4d6e-ab66-c49518532876,/Date(1561164683696+0000)/,1.1.1.1,222,NoError,remote
30992,Wireless80211,CM,212.72.53.209,129.0.79.245,MTN Cameroon,1ebc4dd3-da8a-4d6e-ab66-c49518532876,/Date(1561164687190+0000)/,8.8.8.8,188,NoError,remote
30992,Wireless80211,CM,212.72.53.209,129.0.79.245,MTN Cameroon,1ebc4dd3-da8a-4d6e-ab66-c49518532876,/Date(1561164688876+0000)/,9.9.9.9,204,Refused,remote
36947,Ethernet,DZ,41.110.32.2,105.98.27.156,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561164678244+0000)/,,18,NoError,local
36947,Ethernet,DZ,77.88.56.138,105.110.215.140,Algerie Telecom,ee6deadd-7217-4fae-97c7-6e132abc147b,/Date(1561164678992+0000)/,,139,NoError,local
36947,Wireless80211,DZ,41.110.30.2,105.104.90.155,Algerie Telecom,8cdc70b6-8fc6-4270-85c3-aa72e5385a35,/Date(1561164679030+0000)/,,70,NoError,local
36947,Ethernet,DZ,41.110.32.2,197.200.64.64,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561164679503+0000)/,,145,FormErr,local
36947,Ethernet,DZ,41.110.32.2,105.98.27.156,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561164678974+0000)/,1.1.1.1,54,NoError,remote
36947,Ethernet,DZ,77.88.56.138,105.110.215.140,Algerie Telecom,ee6deadd-7217-4fae-97c7-6e132abc147b,/Date(1561164679713+0000)/,1.1.1.1,69,NoError,remote
36947,Wireless80211,DZ,41.110.30.2,105.104.90.155,Algerie Telecom,8cdc70b6-8fc6-4270-85c3-aa72e5385a35,/Date(1561164680043+0000)/,1.1.1.1,61,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.200.64.64,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561164681282+0000)/,1.1.1.1,118,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.27.156,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561164679921+0000)/,8.8.8.8,40,NoError,remote
36947,Ethernet,DZ,77.88.56.138,105.110.215.140,Algerie Telecom,ee6deadd-7217-4fae-97c7-6e132abc147b,/Date(1561164680711+0000)/,8.8.8.8,70,NoError,remote
36947,Wireless80211,DZ,41.110.30.2,105.104.90.155,Algerie Telecom,8cdc70b6-8fc6-4270-85c3-aa72e5385a35,/Date(1561164680977+0000)/,8.8.8.8,60,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.200.64.64,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561164682469+0000)/,8.8.8.8,118,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.27.156,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561164680999+0000)/,9.9.9.9,76,NoError,remote
36947,Ethernet,DZ,77.88.56.138,105.110.215.140,Algerie Telecom,ee6deadd-7217-4fae-97c7-6e132abc147b,/Date(1561164681795+0000)/,9.9.9.9,105,Refused,remote
36947,Wireless80211,DZ,41.110.30.2,105.104.90.155,Algerie Telecom,8cdc70b6-8fc6-4270-85c3-aa72e5385a35,/Date(1561164682067+0000)/,9.9.9.9,200,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.200.64.64,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561164683818+0000)/,9.9.9.9,78,NoError,remote
8452,Wireless80211,EG,156.200.40.42,197.55.114.252,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561164680720+0000)/,,5,Refused,local
8452,Wireless80211,EG,156.200.40.42,197.55.114.252,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561164681828+0000)/,1.1.1.1,25,ServFail,remote
8452,Wireless80211,EG,156.200.40.42,197.55.114.252,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561164682853+0000)/,8.8.8.8,65,NoError,remote
8452,Wireless80211,EG,156.200.40.42,197.55.114.252,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561164683839+0000)/,9.9.9.9,84,NoError,remote
29614,Wireless80211,GH,197.251.184.0,41.210.14.115,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561164684071+0000)/,,39,NoError,local
29614,Wireless80211,GH,197.251.184.0,41.210.14.115,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561164685556+0000)/,1.1.1.1,102,NoError,remote
29614,Wireless80211,GH,197.251.184.0,41.210.14.115,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561164687095+0000)/,8.8.8.8,112,NoError,remote
29614,Wireless80211,GH,197.251.184.0,41.210.14.115,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561164688325+0000)/,9.9.9.9,7,Refused,remote
36903,Ethernet,MA,81.192.21.50,41.248.184.243,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561164685091+0000)/,,2,NoError,local
36903,Wireless80211,MA,,196.75.53.137,Maroc Telecom,028c5417-79d4-48d7-87cc-e7fafaa0f794,/Date(1561164696035+0000)/,,4501,NoError,local
36903,Ethernet,MA,81.192.21.50,41.248.184.243,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561164685862+0000)/,1.1.1.1,33,NoError,remote
36903,Wireless80211,MA,,196.75.53.137,Maroc Telecom,028c5417-79d4-48d7-87cc-e7fafaa0f794,/Date(1561164694330+0000)/,1.1.1.1,117,NoError,remote
