ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,42,42,40
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,36,54,53
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,41,40,39
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,36,45,44
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,49,48,47
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,40,38,46
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,42,42,41
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296768+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,47,46,46
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,40,39,38
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,34,32,41
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,44,43,40
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,47,36,46
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,45,45,43
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,36,44,42
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,45,34,43
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296439+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,46,45,54
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,39,37,36
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,41,39,38
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,44,43,42
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,39,38,38
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,42,40,39
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,41,35,34
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,49,40,39
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296354+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,42,42,41
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,38,57,37
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,42,34,39
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,39,44,43
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,40,39,46
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,48,45,54
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,36,36,44
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,39,38,37
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296876+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,47,46,45
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,36,40,39
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,42,41,38
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,47,44,44
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,40,43,44
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,44,53,42
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,37,37,45
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,38,44,43
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296875+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,48,46,45
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,38,38,38
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,34,42,41
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,36,46,45
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,36,45,52
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,49,60,56
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,44,44,42
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,7,,10.36.12.166,48,51,57
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048302075+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,8,host-156.200.66.40-static.tedata.net,156.200.40.66,40,58,58
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,1,,10.45.10.37,36,34,44
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,2,,10.36.22.17,34,34,43
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,3,,10.36.22.18,47,46,46
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,4,,10.36.19.209,49,38,52
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,5,,10.36.17.113,42,41,50
8452,WIFI,EG,156.200.40.42,197.32.174.165,TE Data,ANDROID,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1562048296929+0000)/,156.200.40.66,host-156.200.66.40-static.tedata.net,6,,10.38.24.153,39,38,45
