testid,cc,server,dig_type
b92e82cd-e108-4717-b57a-6aec3f9d458d,BI,,local
30c89cc8-9543-486e-a8ae-aa116b772762,BI,1.1.1.1,remote
fbb113b9-c709-489d-8c73-1201fef41f96,BI,8.8.8.8,remote
ddd3c134-bc9c-4cc3-9c52-6af85eb0178b,BI,9.9.9.9,remote
2706a320-08d7-43e5-81c0-639669fe1cc4,CI,,local
b2381954-d818-4f84-950b-7d860dcf6d58,CI,1.1.1.1,remote
76170f38-ffa1-46b1-9b14-385556107554,CI,8.8.8.8,remote
b6fc7195-3fb7-4ab5-866b-2f5daee91f7e,CI,9.9.9.9,remote
7fc87522-43aa-410c-b526-bd8e5dea54a0,CM,,local
489f1c37-443c-448d-bc71-96e1bd0b618f,CM,1.1.1.1,remote
ee746b62-bbb4-419c-b053-c85230602bd2,CM,8.8.8.8,remote
7d00a836-1c02-4575-9191-9fd421439a2b,CM,9.9.9.9,remote
010b22b3-5a6c-43ba-be93-937b7f9ac194,DZ,,local
4e10bfdb-1ec6-459b-8867-8b4ac6ca2dc7,DZ,1.1.1.1,remote
5e2f23dd-24ca-4ab2-a3e5-fcc514dd56d4,DZ,8.8.8.8,remote
b11ee631-0d7b-4fee-aa3f-1d296b3f332c,DZ,9.9.9.9,remote
919436fc-6e41-41d6-8058-c080602fcd23,EG,,local
cfae66f7-d3c9-45ec-bd16-45db05a09941,EG,1.1.1.1,remote
c8e2dcc5-6d76-40e1-904d-99cf6b47767d,EG,8.8.8.8,remote
d360d65c-e01b-4bb0-b110-70fe067311be,EG,9.9.9.9,remote
a3057131-ad49-4c98-a451-e4b4e221d751,GH,,local
bfa3759c-b4e3-481a-9c4f-86064c712e67,GH,1.1.1.1,remote
e6930209-5b0b-4c75-84d6-76cd17121569,GH,8.8.8.8,remote
7fd0e76b-24c5-4eab-bc71-c707504091ef,GH,9.9.9.9,remote
9b03bfb2-b1e3-4215-bdde-39d4f1df0bbf,MA,,local
5e67ad95-dded-4c5c-91e0-ab5457ac5207,MA,1.1.1.1,remote
9fe48dfb-5969-4107-875e-6abf5166fbb7,MA,8.8.8.8,remote
2eded514-6d53-4e39-a203-2571c765005a,MA,9.9.9.9,remote
5a479ae5-6155-48c8-a6b3-27a0e1be0afb,SL,,local
ea7c408d-23b1-48d0-ae5e-35d22b73ab26,SL,1.1.1.1,remote
ab1fbae5-889f-438b-be6f-e8292420fbbf,SL,8.8.8.8,remote
80114164-c425-491c-b647-5b1030ef922a,SL,9.9.9.9,remote
4c627ac7-ca47-47e5-b604-9a053effc3ab,SN,,local
08ca518c-5640-486f-8679-c20897905955,SN,1.1.1.1,remote
89b04db5-81f0-48d0-93f1-fa7421a828c9,SN,8.8.8.8,remote
52a68af6-c0dc-4e57-950a-c1e92ddf353c,SN,9.9.9.9,remote
491e88f4-44d3-4afb-bc82-605fd4869a02,TG,,local
e1db633a-7e83-4f0f-8e26-4f5587703cd0,TG,1.1.1.1,remote
d09a400f-4eac-4c2f-905d-90908b261e0f,TG,8.8.8.8,remote
5f93a73d-44f7-4752-9d95-611d968cdaba,TG,9.9.9.9,remote
5cfcec51-575c-45e3-8cce-6fd688559a32,TN,,local
40613e8b-ca11-47e7-ab23-d6d639e11655,TN,1.1.1.1,remote
a7f455f4-8c9d-4c5f-87f4-27c84ed8e468,TN,8.8.8.8,remote
3334635e-2a10-436d-8520-7e5e38b1862c,TN,9.9.9.9,remote
b5521f4b-46c3-41da-b7af-0873aa51b51e,ZA,,local
ce58b53e-85fc-4ff8-8a85-dabfb99a22bc,ZA,1.1.1.1,remote
3743c155-cc89-45ca-a579-28cf8da23b53,ZA,8.8.8.8,remote
b2dac926-9acd-46be-a637-f691b7fa27f2,ZA,9.9.9.9,remote
