ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185624+0000)/,163.121.128.206,163.121.128.206,6,,10.37.45.182,38,38,44
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185624+0000)/,163.121.128.206,163.121.128.206,7,,10.38.0.70,32,31,31
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185624+0000)/,163.121.128.206,163.121.128.206,8,,163.121.128.206,42,41,42
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,1,,41.236.117.129,43,36,38
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,2,,10.37.75.1,32,32,34
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,3,,10.37.75.2,34,32,33
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,4,,10.37.107.137,38,41,44
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,5,,10.37.24.125,44,45,42
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,6,,10.37.45.182,35,36,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,7,,10.38.0.70,31,32,33
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185498+0000)/,163.121.128.206,163.121.128.206,8,,163.121.128.206,38,39,38
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,1,,41.236.117.129,32,31,32
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,2,,10.37.75.1,31,32,31
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,3,,10.37.75.2,33,34,33
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,4,,10.37.107.137,36,39,42
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,5,,10.37.24.125,40,43,38
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,6,,10.37.45.182,37,37,36
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,7,,10.38.0.70,34,34,32
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186109+0000)/,163.121.128.206,163.121.128.206,8,,163.121.128.206,36,37,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,1,,41.236.117.129,30,31,30
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,2,,10.37.75.1,33,31,31
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,3,,10.37.75.2,33,32,33
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,4,,10.37.107.137,37,40,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,5,,10.37.24.125,39,43,46
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,6,,10.37.45.182,35,34,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,7,,10.38.0.70,34,33,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613186754+0000)/,163.121.128.206,163.121.128.206,8,,163.121.128.206,34,36,35
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613187504+0000)/,163.121.128.206,163.121.128.206,1,,41.236.117.129,31,31,31
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613187504+0000)/,163.121.128.206,163.121.128.206,2,,10.37.75.1,32,31,33
