testid,cc,server,dig_type
8629461f-967d-481d-a86b-37fc4ce031b5,BJ,,local
aaf0121b-9302-41e1-bad5-dbb74cbbd1c1,BJ,1.1.1.1,remote
ac32dd19-59c2-4ac1-ab1a-4af6084685be,BJ,8.8.8.8,remote
bfe59494-85b9-4f01-b46a-816662ac0e73,BJ,9.9.9.9,remote
8b9a1a91-d5e6-4d3f-bc4e-2a74d58551ab,BW,,local
d5160d01-658b-4e27-bdcb-f23296351e3f,BW,1.1.1.1,remote
2dbf7a5e-4002-4020-8bfc-0342a0aded28,BW,8.8.8.8,remote
2bff46bb-370b-499e-a3e5-1efb2791ab2b,BW,9.9.9.9,remote
3df22a28-b46a-409c-aab5-1d5016b90ed9,CI,,local
c54d5e30-7363-4f40-a556-532f4b738c36,CI,1.1.1.1,remote
285cdf89-7553-4737-add8-0c6ea38bef80,CI,8.8.8.8,remote
897e4c8e-9c6b-4cc5-95c7-fa92a8e6ee20,CI,9.9.9.9,remote
9c867764-8b78-4134-8761-b04a107005eb,DZ,,local
7ab2903b-6d1a-4cef-9171-1680645e94a2,DZ,1.1.1.1,remote
03fa41e5-84a8-4cb2-aa10-3b2fbae879f4,DZ,8.8.8.8,remote
0882cf80-d3c2-49d1-a308-40bdefa8c7e8,DZ,9.9.9.9,remote
6b8f9a23-0143-43e0-9052-b29aa922b32d,EG,,local
8f1c1647-79fd-4991-bed0-f98f74709ca9,EG,1.1.1.1,remote
11650d1e-b003-49d8-9856-beb7b7900e9e,EG,8.8.8.8,remote
6cb33bfe-d6c9-45b2-9d5f-ba053e4ae4ca,EG,9.9.9.9,remote
0a018384-0b24-405d-a273-aa8c80bf5aa1,GA,,local
5f7b361c-97fa-47f6-97ac-8bdbeb716f71,GA,1.1.1.1,remote
75739371-d934-40a4-9681-14a263457dc0,GA,8.8.8.8,remote
72a54f00-6a80-4406-88ad-cd2b0bbe78d3,GA,9.9.9.9,remote
43df490e-8c37-498f-b66c-d53f0e41fd75,GH,,local
a6950c5e-9e50-4729-a7df-7aae01ca8488,GH,1.1.1.1,remote
fa567090-ba6b-4dcb-bd29-698ef83d3ac1,GH,8.8.8.8,remote
e77e3e3a-e8c9-4907-9184-16c3a5181084,GH,9.9.9.9,remote
93f125b6-eaa8-43b6-ba11-4dc3f3bc3cb3,KE,,local
477f80de-b612-4ca5-a3c4-38e1bfad4181,KE,1.1.1.1,remote
91e57ab5-5dc0-4bca-a947-e500f67614cd,KE,8.8.8.8,remote
b0a4fa85-8f6a-4755-af4d-5b2a4a668649,KE,9.9.9.9,remote
1d1377b7-0447-4697-846a-cda47762b9bf,MA,,local
43df13f4-d946-4132-ae0f-70a889d9b362,MA,1.1.1.1,remote
efb8c268-fa18-45fa-af56-29c114f102fe,MA,8.8.8.8,remote
546194aa-1b21-42c0-b7b7-eee3a5496880,MA,9.9.9.9,remote
0f35a5e5-f66b-479e-b021-1483956495a6,NG,,local
1f2747a0-5cce-48ba-bd69-a75ab21eea66,NG,1.1.1.1,remote
829a5bc5-41b4-47ef-9486-693b1ad503dc,NG,8.8.8.8,remote
eabf2b00-a0f2-4ad7-95ca-a4e5f1e5d6f9,NG,9.9.9.9,remote
bde7d41f-841c-49ae-ac74-ff9b82d88969,SL,,local
17537287-45b0-47f8-919e-b7a47e6b75bf,SL,1.1.1.1,remote
c6b60454-4354-4b99-a4b3-d93da94bc702,SL,8.8.8.8,remote
ef0e3734-6d9e-4f65-a85c-129650f7de7a,SL,9.9.9.9,remote
f73e1de7-0f30-4b51-bfb8-ee91d5e77584,SN,,local
8bc501b6-699a-4fbd-938d-3c00f200551f,SN,1.1.1.1,remote
635b006b-0780-426c-bc85-1966b4fb6034,SN,8.8.8.8,remote
f60aa683-7be7-4d92-9ee6-a52c28461747,SN,9.9.9.9,remote
09c94985-c5cf-4c82-9630-bb314cba63eb,TD,,local
74e76522-cca9-4351-8a92-751d9e9c9150,TD,1.1.1.1,remote
e78534ed-ed73-404b-a94a-bbe675cda144,TD,8.8.8.8,remote
97a75736-0e64-4590-893c-ac53ae99d728,TD,9.9.9.9,remote
b01cbb80-6278-496b-9882-5c469c44ce02,ZA,,local
a0742db7-7957-4edd-a443-696bb1559db3,ZA,1.1.1.1,remote
5d6056a2-8423-468f-8dda-913aae553206,ZA,8.8.8.8,remote
746d4cb7-5b24-46d2-891b-8dca797d34cb,ZA,9.9.9.9,remote
340d197e-3404-4a3a-bd16-f7691e8d1ca4,ZW,,local
81f517c6-fa51-4c21-8930-0c490be5167c,ZW,1.1.1.1,remote
553f0006-ab53-4974-a74a-8a8d4fbee833,ZW,8.8.8.8,remote
1377a0f5-1df5-4f1e-8fd5-7252918cc9c3,ZW,9.9.9.9,remote
