ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
24863,Unknown,EG,,78.129.233.100,Link Egypt,ROUTER,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561595146199+0000)/,1.1.1.1,,9,212.73.205.22,212.73.205.22,54,66,54
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,1,host-41.37.160.1.tedata.net,41.37.160.1,21,35,34
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,2,,10.36.26.125,28,44,30
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,3,,10.37.93.34,27,38,47
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,4,,10.37.72.73,29,46,48
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,5,,10.37.72.93,33,48,51
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,6,,10.37.87.149,25,42,45
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,7,,72.14.205.68,56,76,77
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,8,,108.170.252.241,58,78,75
8452,WIFI,EG,163.121.128.214,197.60.91.140,TE Data,ANDROID,7abd4fc3-178a-4e01-8447-38e971c6f3a0,/Date(1561595172389+0000)/,8.8.8.8,dns.google,10,dns.google,8.8.8.8,72,67,101
36992,WIFI,EG,62.140.79.246,41.199.154.245,Etisalat Misr,ANDROID,feef3e8f-e584-43e1-8333-03428720300b,/Date(1561595188553+0000)/,8.8.8.8,dns.google,1,,10.10.12.13,100,90,102
36992,WIFI,EG,62.140.79.246,41.199.154.245,Etisalat Misr,ANDROID,feef3e8f-e584-43e1-8333-03428720300b,/Date(1561595188553+0000)/,8.8.8.8,dns.google,12,dns.google,8.8.8.8,133,121,119
8452,WIFI,EG,163.121.128.206,41.34.175.192,TE Data,ANDROID,f5a4aad7-2ea8-4706-b815-a7a46230f7fa,/Date(1561595220384+0000)/,8.8.8.8,dns.google,1,,10.45.10.221,36,35,319
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1561595230545+0000)/,8.8.8.8,dns.google,1,host-197.41.0.1.tedata.net,197.41.0.1,30,30,30
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1561595230545+0000)/,8.8.8.8,dns.google,2,,10.36.22.9,33,31,32
