ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
36992,WIFI,EG,105.203.255.251,105.83.165.91,Etisalat Misr,ANDROID,08502e13-a0f7-4205-ac81-96870da75187,/Date(1561121416858+0000)/,1.1.1.1,one.one.one.one,13,one.one.one.one,1.1.1.1,598,438,137
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,1,,172.18.93.225,2,1,2
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,2,,172.18.93.177,8,12,8
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,3,,172.18.214.233,11,8,8
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,4,,172.18.214.97,9,8,11
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,5,host-81.10.87.5.tedata.net,81.10.87.5,8,8,8
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,6,,10.37.241.9,11,13,12
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,7,host-213.158.191.230.tedata.net,213.158.191.230,11,13,12
24863,WIFI,EG,45.240.6.2,197.163.21.181,Link Egypt,ANDROID,e13483e6-237e-460c-9d35-3d5b11c46482,/Date(1561121419731+0000)/,1.1.1.1,one.one.one.one,8,one.one.one.one,1.1.1.1,13,13,14
24835,WIFI,EG,62.240.113.124,102.184.83.204,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561121459566+0000)/,1.1.1.1,one.one.one.one,1,,197.133.96.3,12,17,18
24835,WIFI,EG,62.240.113.124,102.184.83.204,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561121459566+0000)/,1.1.1.1,one.one.one.one,2,,172.31.139.25,13,12,18
24835,WIFI,EG,62.240.113.124,102.184.83.204,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561121459566+0000)/,1.1.1.1,one.one.one.one,3,,172.21.30.58,13,18,14
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,1,10.45.10.23,10.45.10.23,4,6,6
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,3,10.37.93.42,10.37.93.42,7,7,8
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,4,10.37.87.137,10.37.87.137,8,7,6
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,5,10.37.85.102,10.37.85.102,7,7,6
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,6,host-213.158.191.230.tedata.net,213.158.191.230,9,8,8
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561121472228+0000)/,1.1.1.1,,7,one.one.one.one,1.1.1.1,7,7,8
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,1,,172.16.53.150,20,19,27
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,2,,172.18.214.9,20,22,38
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,3,,172.18.214.101,20,40,36
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,4,,172.18.214.126,24,21,21
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,5,host-81.10.87.217.tedata.net,81.10.87.217,21,22,34
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,6,,10.37.22.189,26,24,36
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,7,host-213.158.191.230.tedata.net,213.158.191.230,23,24,35
24863,WIFI,EG,45.240.6.2,45.246.221.X,Link Egypt,ANDROID,NONE,/Date(1561121492906+0000)/,1.1.1.1,one.one.one.one,8,one.one.one.one,1.1.1.1,38,40,38
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,1,,172.18.93.225,2,1,2
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,2,,172.18.93.177,8,14,13
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,3,,172.18.214.233,9,8,14
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,4,,172.18.214.97,10,15,8
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,5,host-81.10.87.5.tedata.net,81.10.87.5,14,14,16
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,6,,10.37.241.9,12,11,18
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,7,host-213.158.191.230.tedata.net,213.158.191.230,18,11,19
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121569643+0000)/,1.1.1.1,one.one.one.one,8,one.one.one.one,1.1.1.1,18,16,19
8452,WIFI,EG,156.200.40.66,41.40.15.31,TE Data,ANDROID,b71e30d9-7f07-4bd5-ac7a-edc5d23a0be6,/Date(1561121644521+0000)/,1.1.1.1,one.one.one.one,9,one.one.one.one,1.1.1.1,35,26,27
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121412380+0000)/,8.8.8.8,dns.google,1,,172.18.93.225,1,2,2
24863,WIFI,EG,41.128.84.2,197.163.21.X,Link Egypt,ANDROID,NONE,/Date(1561121412380+0000)/,8.8.8.8,dns.google,2,,172.18.93.133,8,9,10
