testid,cc,server,dig_type
71128be0-4177-4a21-8f7b-7c16471677ee,AO,,local
ddaf4762-4c49-4ab3-b67d-1c3011caef33,AO,1.1.1.1,remote
91907cb1-f729-4484-a334-94e72e10950e,AO,8.8.8.8,remote
0858fe42-391c-463c-876b-f2bd62f32063,AO,9.9.9.9,remote
b920f232-a465-4316-8ce2-6af23679fa07,BW,,local
987d469a-e86e-4453-b4a0-bb5366ada2bd,BW,1.1.1.1,remote
21697b1a-493d-4859-bf98-486e75ca5e8e,BW,8.8.8.8,remote
cbab3c4e-963f-4dde-a094-19081e21ca64,BW,9.9.9.9,remote
d6136459-ea15-4b00-bee7-843b09ff6d9a,CI,,local
b2bc8729-f122-45e9-956a-20bb6690e917,CI,1.1.1.1,remote
b9112cd6-18fe-4c77-9713-03a35c58b0aa,CI,8.8.8.8,remote
578f3fc1-efa0-4a0a-b7b2-c6d8f527e773,CI,9.9.9.9,remote
8ea26bc0-945f-415a-bbbd-bedbca80ab66,DZ,,local
38c5004c-8be2-4c3d-a5f7-128608314042,DZ,1.1.1.1,remote
f380e500-841c-4d2e-80c2-e5ac0f4d8586,DZ,8.8.8.8,remote
8883fbf5-a53e-49fb-86ce-ee00ee0dfbd3,DZ,9.9.9.9,remote
c8c48c56-a453-432c-a978-2695846748df,EG,,local
0636e01b-bf32-4f4d-b6d7-ab26975cecc5,EG,1.1.1.1,remote
29bce544-ff7d-4965-abcc-67380418336a,EG,8.8.8.8,remote
fc618ceb-0853-4982-bd6d-e7894cfcd252,EG,9.9.9.9,remote
2efc2073-9c66-45fa-a03f-e6fa03f60bce,GH,,local
f7cbcb53-0cfb-4424-a31d-e803e363ee28,GH,1.1.1.1,remote
8c3aa132-8e10-4bc8-985d-551cfcccadd3,GH,8.8.8.8,remote
d9805014-bc8a-4111-bfac-6c3a3aa725ac,GH,9.9.9.9,remote
fd2da168-b862-4b21-81ab-7002949591be,GQ,,local
ec34fb7e-8107-4142-be96-0e98b232009b,GQ,1.1.1.1,remote
01bf9728-5b05-4f74-9e30-efd7e0410be2,GQ,8.8.8.8,remote
88393cb6-af1a-45be-802b-f9b6a452a7c6,GQ,9.9.9.9,remote
68e182b2-a285-4a64-974d-23d6e3151ff5,KE,,local
1ed03eff-d31b-443e-915b-390e7338c4d7,KE,1.1.1.1,remote
3cadaac8-4a19-4fb9-b203-32e64896984e,KE,8.8.8.8,remote
ea90145d-7647-44c3-b81e-5cd395302544,KE,9.9.9.9,remote
9d4063e1-9dcf-4f55-a23e-3138a400c2ae,MA,,local
f035d83d-ed36-493a-8061-6aff004ca39a,MA,1.1.1.1,remote
0488caa6-e304-49bb-aca0-3262728ccca1,MA,8.8.8.8,remote
22f2c3f0-169e-4b63-9634-133151d65ed7,MA,9.9.9.9,remote
a74a78e7-8695-488a-a4f4-60fd87bd7ff2,MG,,local
a4dd25db-7d13-4dcf-8024-c83570e6ef27,MG,1.1.1.1,remote
1036a70a-14a8-4ac7-8d73-202387ecf233,MG,8.8.8.8,remote
b4e02eab-697c-4846-9807-b26c9fe3c088,MG,9.9.9.9,remote
f4ad71da-3cf2-4dcc-a84f-65f66e8aaab5,MU,,local
087e0743-6df8-44c0-9466-3e9c35bc6ca5,MU,1.1.1.1,remote
7c6f23c1-f441-409d-844c-79d65557dc7d,MU,8.8.8.8,remote
96a168c1-ee61-4a13-b831-526cb48a8801,MU,9.9.9.9,remote
bea85583-0ae7-4ca2-b3df-aa1185c0e667,NG,,local
70cec367-81cd-45e6-a71b-ecc050e144f3,NG,1.1.1.1,remote
7e3a10be-02df-488b-a8ed-9cb9ef541699,NG,8.8.8.8,remote
97176179-adcb-4e11-8232-acb06f63e365,NG,9.9.9.9,remote
cde2b96d-c24b-4a0f-b539-8a4e1e115b87,SD,,local
5c492d73-c19c-4020-a7aa-1794660f833a,SD,1.1.1.1,remote
6709fe34-fc74-443b-836d-85c0fffcc08c,SD,8.8.8.8,remote
5de28751-3f5d-4e8e-abb8-d543ae918204,SD,9.9.9.9,remote
99235e89-2da3-4b5f-b71f-31527e8b0d80,SL,,local
407a901e-23f2-4ef3-9acc-53946f611dad,SL,1.1.1.1,remote
a14ccf29-f8d8-4f01-be29-76eee71a99b2,SL,8.8.8.8,remote
14d0c095-fb25-4333-a1db-db5baf9ea52d,SL,9.9.9.9,remote
