testid,cc,server
d7a7d8a2-957f-4525-bbd1-bc36b1bfb408,LR,1.1.1.1
7f642b58-f9f2-493a-ab36-7e3be56b0bc5,LR,8.8.8.8
d8ca1c49-48a9-48c0-bf99-777a18d7f295,LR,9.9.9.9
d63a911b-c5cc-46e0-a43d-990425a8e490,ML,1.1.1.1
81fdc913-c3b5-4b94-948a-16a8c68a4281,ML,8.8.8.8
41f74e26-b7ec-4a2b-8eef-9a8711c7284d,ML,9.9.9.9
0f532061-0f7c-4593-b042-bdf17ff020a6,MR,1.1.1.1
cadd9ef2-7042-4bbc-9421-86f7fa4a880c,MR,8.8.8.8
f05e2c2c-4260-42f8-92ed-fb0eed14ca4c,MR,9.9.9.9
18165e88-4696-44f4-8799-539d67d32237,NE,1.1.1.1
40e0bb49-a234-46e3-a378-6854f816ec5b,NE,8.8.8.8
0f18bc82-79fa-4897-84fd-3bc15d71532e,NE,9.9.9.9
815872e5-e063-4164-b964-a72276b52943,NG,1.1.1.1
8fccf285-df05-4572-99f4-c74ee781e746,NG,8.8.8.8
933b43ea-5411-4cf6-a428-3d9f10c501a3,NG,9.9.9.9
9648f54e-c232-474a-924d-11bf3f9e07e9,SL,1.1.1.1
ba0a614d-b999-42a0-8a43-724604910d66,SL,8.8.8.8
afbe04c5-17e2-46cc-9eb7-57cf39fbb36e,SL,9.9.9.9
698292ae-f4de-46ba-b36e-8be754e7da6d,SN,1.1.1.1
191df8d4-dd27-4e97-8b3b-bdda78e6426d,SN,8.8.8.8
5c924057-a1d3-4034-9804-6281a0c30d3f,SN,9.9.9.9
9f47c077-2659-492b-b7a0-48246361627b,TG,1.1.1.1
cc97faed-f1ce-41fc-b81c-96aa8daa71bd,TG,8.8.8.8
278f6e87-4362-4bd4-9297-ef047bf1db82,TG,9.9.9.9
6cfdbfed-1b17-42b1-a3ca-f4c05666acd5,ST,1.1.1.1
1b91e6e7-4fa7-4192-833b-9761bf7cfe30,ST,8.8.8.8
b454195f-c456-470c-b1d8-fe6462f89260,ST,9.9.9.9
a93b799d-ba22-4e28-8a5e-3798842a5626,KE,1.1.1.1
3a067a20-6779-4b33-a25d-e864fc3640b6,KE,8.8.8.8
b591b77c-5d72-4458-ade4-6dfac864f676,KE,9.9.9.9
177fe559-7510-4852-acb8-6fe48e0314d2,MG,1.1.1.1
c25a2aec-9ee6-4089-bbc5-b2be30b01329,MG,8.8.8.8
e59b5f61-60bc-4f53-807e-b0a09df3648a,MG,9.9.9.9
be9dab2f-0ffb-4641-b409-9f66f0c77773,MU,1.1.1.1
9c82c994-252f-45a3-b327-a5d00f3043ee,MU,8.8.8.8
f5661d9a-7464-414c-98bc-a0d086aeb491,MU,9.9.9.9
8829c409-3a6b-4660-949f-9b5025e0a3e7,MW,1.1.1.1
6c82898d-750c-4771-b38e-ccc0930ea44e,MW,8.8.8.8
75bca11a-5109-433f-b1f7-a729ca671d97,MW,9.9.9.9
05aeedcb-a2d8-46d4-9619-b063f156ddc6,MZ,1.1.1.1
bd8ce4c3-0cde-410e-8951-2f70fb7cb504,MZ,8.8.8.8
94a8c6e8-176e-4489-abcf-27631872b678,MZ,9.9.9.9
ae636918-fdb0-4bd1-85e3-a9a6025bd0ff,RE,1.1.1.1
3589eea1-eefe-4639-830d-fcfd484f65e4,RE,8.8.8.8
7165c11c-e0f0-4498-8909-b7e5b4e857cc,RE,9.9.9.9
dda45f45-7cbb-4afa-9c9b-121d47fbcddb,RW,1.1.1.1
1d3e8ce3-24cf-4602-be0c-f08d76bb89a2,RW,8.8.8.8
2d211ee9-8756-4c83-9194-805c1964f238,RW,9.9.9.9
d23c854f-95e5-4d81-9c5c-5dcfe38bac3a,SC,1.1.1.1
8e75174f-0d94-4f13-9538-b69d0f7e6bc3,SC,8.8.8.8
63e074fd-a40b-4bf8-ba05-d981b4133df0,SC,9.9.9.9
a9c6f7f7-db46-4593-af9b-1eef448be848,SO,1.1.1.1
c7f360fb-4959-4427-96a3-203dfa12c575,SO,8.8.8.8
6f3facb5-cd79-45b9-a3fc-0774daef1f9c,SO,9.9.9.9
31d3ef51-1c22-4505-8495-c78aeea2a31a,UG,1.1.1.1
9664f5b1-aac9-4640-a84e-41eb8ffd0624,UG,8.8.8.8
8bdac23a-e66e-40a2-a6db-1db03b6d0a31,UG,9.9.9.9
26a8f536-581a-456e-b63d-ff7cfa57e514,LS,1.1.1.1
a5c2f269-3e11-4913-9ed4-77d74345c59c,LS,8.8.8.8
4fd705d8-2c59-4ca7-99a3-2765751b72cb,LS,9.9.9.9
f720750a-0e70-483e-89c1-2daee5f9084e,NA,1.1.1.1
1dda0c54-0076-430d-820a-45c013b9ba68,NA,8.8.8.8
98b07f4a-4ffb-4c01-96f5-5b19e64bf1b6,NA,9.9.9.9
e8b479d3-f66e-4e55-b1c4-21fa2b4edef6,SZ,1.1.1.1
43b6a81f-e4f1-480a-a818-8d8fa14bf1f0,SZ,8.8.8.8
43f63360-eb60-4270-804e-1e0bd78d48ed,SZ,9.9.9.9
6c6376a0-280f-4165-80e8-0fce2b83413f,ZA,1.1.1.1
b6ca934d-ff48-454a-b954-1515ed839b8c,ZA,8.8.8.8
6278a4a7-6dec-48a4-acdf-9278418e6eba,ZA,9.9.9.9
ea40d5a7-09e5-4c65-8c9f-b1932d9a3f76,DZ,1.1.1.1
524e1065-af86-4fbb-b6f4-b2ce01fb3ade,DZ,8.8.8.8
284ec5bd-8498-40c2-90f3-9de42fe49949,DZ,9.9.9.9
9cb288ec-6923-4beb-9188-bab05dc41b87,EH,1.1.1.1
2f8646d3-e648-4f2b-a0ee-67c67e0f4bbc,EH,8.8.8.8
218be920-1da2-433f-bff2-0a5b7a4476c0,EH,9.9.9.9
f2106e2c-eb2c-47e0-a810-c7630c6cf615,LY,1.1.1.1
fbc1c418-5125-49ae-9caa-12953f6eb768,LY,8.8.8.8
d43a4ca7-9eef-447a-bdbe-ea2d821a9755,LY,9.9.9.9
074b414e-b38e-4cb8-b3f3-724f77a60ca5,BF,1.1.1.1
4a1ebc93-c640-4a23-b982-1789ca44a9ba,BF,8.8.8.8
d6c17ff4-c645-4a31-9e0a-70cf2d9d81ef,BF,9.9.9.9
edd719c4-9a1e-418c-95ee-9836db8bf655,SH,1.1.1.1
517a81c9-ffc4-47a4-af06-6161d6547d7b,SH,8.8.8.8
0efb71c2-5b75-4f9e-915d-074a05609cc8,SH,9.9.9.9
0e62ad00-db5f-4a14-9daf-912b81841b50,CD,1.1.1.1
e967fe7b-940e-4019-8d41-23dfdd7d1145,CD,8.8.8.8
05ad0580-729d-4da0-9d83-5b9f01c3f1f6,CD,9.9.9.9
4969e313-e771-4d69-8926-ab8793fd273a,TZ,1.1.1.1
36ab3be9-5d7e-41cd-8994-da80837bb48b,TZ,8.8.8.8
