testid,cc,server,dig_type
ff1d6a3a-f4a9-4309-84db-5ba45e296ff4,AO,1.1.1.1,remote
cf9bfe96-def6-4a56-aabb-6404563729d5,AO,8.8.8.8,remote
c8d4ca62-3943-4726-b84a-0e0e31c382a9,AO,9.9.9.9,remote
bcb5b1ea-7142-4301-9687-a5253c23aa15,BI,1.1.1.1,remote
7942dade-2105-4456-a206-fea5d5566aa5,BI,8.8.8.8,remote
030bfa45-7050-4668-834d-8db255dbc252,BI,9.9.9.9,remote
1a094e77-944d-48d7-9987-0ac9b391d6e6,BW,1.1.1.1,remote
7dfc9661-b3e1-4b31-8159-020b40f45d04,BW,8.8.8.8,remote
d7640148-3566-47c1-9a13-4d9489f385ad,BW,9.9.9.9,remote
c7d0cca1-2f97-4089-abe7-d07542e6aaea,CD,1.1.1.1,remote
c6f8b4bb-d6a8-4138-88a7-88f5e4a8ee1b,CD,8.8.8.8,remote
bb293cd1-9019-4be4-ab0b-0f3ba1251a32,CD,9.9.9.9,remote
8c4feb1a-cec9-453f-87b4-d6090acb8975,CI,1.1.1.1,remote
acbd17cb-f0f8-4060-a0f8-82993313732f,CI,8.8.8.8,remote
83046077-ee77-4a71-a6fc-705ef771b392,CI,9.9.9.9,remote
dd3a4481-37ba-4090-b932-f37ccba45425,DZ,1.1.1.1,remote
c3ca29fe-0fea-4d33-9bf3-4fd732bcda86,DZ,8.8.8.8,remote
ce5d69d6-43b7-4399-80ce-44caf9aac724,DZ,9.9.9.9,remote
3b8b96d1-03b7-447f-a45c-fed7e6ccf536,EG,1.1.1.1,remote
24c94dab-2a40-4af6-acac-701b26f57c93,EG,8.8.8.8,remote
8438ca75-0fe0-4fd6-97ec-88591649805e,EG,9.9.9.9,remote
33d1c765-2283-4b05-b959-be6f8db13980,GH,1.1.1.1,remote
7ff20ee4-0727-4402-8130-2f4717bc29f7,GH,8.8.8.8,remote
2fe395bd-a3a2-4279-8556-ed129fd7b7e5,GH,9.9.9.9,remote
785f4792-159d-499d-8b0a-47d22467b7b7,GQ,1.1.1.1,remote
e2ac5b24-0199-4c84-93ed-dbb37a882327,GQ,8.8.8.8,remote
3d7b104e-d34a-4c74-b17f-1c9e4eea86b2,GQ,9.9.9.9,remote
96d0a76b-7c7c-490f-ac54-5be711d4de9d,KE,1.1.1.1,remote
6564fe1a-4f9f-4003-9318-79850e0793ea,KE,8.8.8.8,remote
24a6889e-6917-4650-a395-533ad4dbe17e,KE,9.9.9.9,remote
34aa210e-ce9c-4d1c-91e2-185fd5adbe5a,MA,1.1.1.1,remote
fda29768-7ed0-4f39-8650-fd66724b44cc,MA,8.8.8.8,remote
34eef4ec-8372-4766-913b-910a665e8c59,MA,9.9.9.9,remote
aab0e6c5-0640-4ddd-a513-a7aabed76e47,NG,1.1.1.1,remote
17260a72-e52b-4605-b9da-fa53efbf98c5,NG,8.8.8.8,remote
b4682471-01d2-447d-96f8-f717d0401400,NG,9.9.9.9,remote
58b5afc5-b39b-4fff-8e05-7846ea13b7c5,SL,1.1.1.1,remote
fd4c79de-8d97-43ca-8970-19def99e746f,SL,8.8.8.8,remote
be05880a-06fd-46f8-891a-45dd2669f430,SL,9.9.9.9,remote
d0613e19-531a-4d29-bdf6-9929db22de7d,SN,1.1.1.1,remote
bef53c57-78f7-4bbf-9b6d-a1ce77f10160,SN,8.8.8.8,remote
ecb40360-3f3e-417d-9438-aceeea56495c,SN,9.9.9.9,remote
b559cecb-c76a-450a-8b84-2550a231c388,TD,1.1.1.1,remote
3b47a593-56e7-4a0a-be0d-a57d4318129c,TD,8.8.8.8,remote
ab9aec54-b2d1-4b7c-9cab-9dccaef708a5,TD,9.9.9.9,remote
fb0a03aa-26b2-4b15-8c20-c40245ed1cff,TG,1.1.1.1,remote
e1aa5431-9680-4f6d-a406-7f9874064ae0,TG,8.8.8.8,remote
216a81a8-49a9-4186-989d-612d35528e30,TG,9.9.9.9,remote
7fdc8360-a7e5-4860-9550-8599f6457dab,TN,1.1.1.1,remote
9e3c76f3-4a2f-4cfd-b820-14a10392dfcd,TN,8.8.8.8,remote
04e231f5-5e98-4944-aaed-ef48b752d24d,TN,9.9.9.9,remote
bc3c055e-b494-418a-a826-896204bfb3f3,UG,1.1.1.1,remote
b7f9925d-12ed-40fc-aef3-d876e62683a7,UG,8.8.8.8,remote
78ad3b1d-d654-4287-b04b-e4ee8aba2ab2,UG,9.9.9.9,remote
16e20adb-a09d-43db-b964-18bd36ffc088,ZA,1.1.1.1,remote
6b61b3dd-bf70-49b1-9f18-18cacb76d73b,ZA,8.8.8.8,remote
b191fd08-296f-4172-b516-69e5df7ba2eb,ZA,9.9.9.9,remote
c990fb6c-d5ba-404c-b166-41a7470f76ad,ZM,1.1.1.1,remote
7faee276-c6fa-4a61-8ae2-95da0757a716,ZM,8.8.8.8,remote
feab3e81-d664-486c-abe8-47b429ecefe2,ZM,9.9.9.9,remote
c793c704-8637-4060-8a8b-71249978f30e,ZW,1.1.1.1,remote
cc240583-824e-470a-8369-66ef54cc882c,ZW,8.8.8.8,remote
b5ec7e0b-4923-4428-984d-454997e9ee25,ZW,9.9.9.9,remote
