testid,cc,server,ping_type
613e3784-b144-48dd-8de4-104e707b5c87,EG,1.1.1.1,icmp
72eef6b6-09fc-4b0e-8338-48c17ba5ac86,EG,8.8.8.8,icmp
ff103ca6-9316-4cd2-b5e2-40dd49ec6ac6,EG,9.9.9.9,icmp
97bc366e-7f8f-4a76-847c-f48225dbe813,BJ,1.1.1.1,icmp
67bbeb60-aa82-4dda-af8e-eec3974770b8,BJ,8.8.8.8,icmp
b1623bbb-7bef-48e3-80d1-a364e2fef3a9,BJ,9.9.9.9,icmp
107ebed0-99cc-44e8-a2b0-af0a09146487,CI,1.1.1.1,icmp
08558606-e1a6-47ee-a12b-8d311c854b6e,CI,8.8.8.8,icmp
7f7247b4-8846-43c6-9ecc-b648d2442adc,CI,9.9.9.9,icmp
13429e3f-c65f-44a7-af04-2b94d8a88f5a,CV,1.1.1.1,icmp
546a6b3c-9ac5-4a49-936b-f8d853b64063,CV,8.8.8.8,icmp
f653a13f-d003-46fb-8c0e-ba7740a93f13,CV,9.9.9.9,icmp
09199203-fcac-471c-8af0-33767f94cb6e,GH,1.1.1.1,icmp
09b1c9e5-5546-4d85-8825-89e1e1874893,GH,8.8.8.8,icmp
ba263e5e-ca30-4149-bad6-00ea9375ec55,GH,9.9.9.9,icmp
19a0b2f8-cb67-455a-9ab1-75c697a2af3f,GM,1.1.1.1,icmp
f53e16f9-5f66-4265-96c4-9bb26f9654f1,GM,8.8.8.8,icmp
d9a05446-3243-4690-b43f-37d3f63cd9a7,GM,9.9.9.9,icmp
fe9aeb23-3f79-4880-95bf-92e30947f662,GN,1.1.1.1,icmp
9f92e12e-9516-441d-9197-6fa512ae3e2b,GN,8.8.8.8,icmp
43cfbac1-9baf-4c58-8b9d-c6c6aaf7e5f4,GN,9.9.9.9,icmp
dae356ab-122a-4574-8e55-82ee4b38367f,GW,1.1.1.1,icmp
43fe090c-d963-4105-b6c2-717243ab8bd9,GW,8.8.8.8,icmp
fc7fb9a1-9b97-40b7-9f7c-d62ffdad812b,GW,9.9.9.9,icmp
0977ac05-1a7b-4893-82e6-bb20b9b5f764,AO,1.1.1.1,icmp
670826ee-66d7-48c1-9ccd-c6142a08289e,AO,8.8.8.8,icmp
