ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
24863,Unknown,EG,,41.128.147.99,Link Egypt,ROUTER,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561726474685+0000)/,1.1.1.1,,1,172.25.42.121,172.25.42.121,3,3,3
24863,Unknown,EG,,41.128.147.99,Link Egypt,ROUTER,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561726474685+0000)/,1.1.1.1,,5,81.52.188.247,81.52.188.247,55,54,55
8452,WIFI,EG,163.121.128.206,41.235.137.213,TE Data,ANDROID,3d304500-4408-4aa3-94df-85b02a2cfd52,/Date(1561726537595+0000)/,1.1.1.1,one.one.one.one,1,,10.45.10.221,24,64,19
8452,WIFI,EG,156.200.40.42,156.213.212.36,TE Data,ANDROID,5fcec0e0-8343-4130-8884-60971ef7d85a,/Date(1561726580484+0000)/,1.1.1.1,one.one.one.one,1,,10.45.5.65,45,75,274
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,1,,41.69.0.2,12,14,19
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,2,,172.31.248.137,17,23,17
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,3,host-81.10.87.165.tedata.net,81.10.87.165,48,56,75
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,4,,10.36.19.61,26,42,38
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,5,te0-2-0-22.rcr21.mil01.atlas.cogentco.com,149.14.133.217,62,64,71
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,6,ix-ae-12-0.thar1.wi3-milan.as6453.net,195.219.166.196,330,350,330
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,7,,72.14.213.156,66,64,66
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,8,,108.170.245.81,104,101,89
24835,WIFI,EG,62.240.113.124,41.69.113.123,Vodafone Egypt,ANDROID,70d1977b-656d-436a-bdbd-0b8277d118e7,/Date(1561726479274+0000)/,8.8.8.8,dns.google,10,dns.google,8.8.8.8,66,69,85
