ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114540208+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,1,host-197.41.0.1.tedata.net,197.41.0.1,31,43,44
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114540208+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,2,,10.36.22.29,31,32,33
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114540208+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,3,,10.36.22.30,30,33,48
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114538274+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,1,host-197.41.0.1.tedata.net,197.41.0.1,30,48,53
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114538274+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,2,,10.36.22.29,57,48,47
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114538274+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,3,,10.36.22.30,31,32,42
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114545655+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,1,host-197.41.0.1.tedata.net,197.41.0.1,31,35,30
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114545655+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,2,,10.36.22.29,31,31,216
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114545655+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,3,,10.36.22.30,33,30,42
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114539567+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,1,host-197.41.0.1.tedata.net,197.41.0.1,30,48,30
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114539567+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,2,,10.36.22.29,34,114,371
8452,WIFI,EG,156.200.40.42,197.45.9.159,TE Data,ANDROID,c08121c2-2ab4-4d21-b992-4fb2b56ee64f,/Date(1562114539567+0000)/,156.200.40.42,host-156.200.42.40-static.tedata.net,3,,10.36.22.30,33,33,30
