ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,IPTarget,rtt1,rtt2,rtt3,avg_rtt
24863,Unknown,EG,,78.129.233.100,Link Egypt,4cdbdd32-4719-4bbf-8853-1bcd44977c16,/Date(1561539237528+0000)/,1.1.1.1,54,55,54,54
8452,WIFI,EG,163.121.128.214,41.47.6.246,TE Data,ff7f6161-2b11-4ac1-8017-af8b6702966b,/Date(1561539238694+0000)/,1.1.1.1,48,47,54,49
36992,WIFI,EG,62.140.79.242,217.52.184.166,Etisalat Misr,ff38586e-a03f-4ae4-a97f-d8035f86ef09,/Date(1561539239598+0000)/,1.1.1.1,48,48,54,50
24863,WIFI,EG,41.128.84.2,45.243.144.63,Link Egypt,f258173b-9e02-4d8c-aa36-9e307040f032,/Date(1561539242783+0000)/,1.1.1.1,29,31,50,36
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561539243313+0000)/,1.1.1.1,60,65,59,61
8452,WIFI,EG,163.121.128.206,41.46.57.13,TE Data,3f65e197-9d08-4864-b561-e822e16e862f,/Date(1561539251227+0000)/,1.1.1.1,27,34,33,31
8452,fiber,EG,,156.222.62.72,TE Data,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561539237680+0000)/,8.8.8.8,41,41,41,41
8452,Unknown,EG,,196.218.127.141,TE Data,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561539237811+0000)/,8.8.8.8,57,57,57,57
8452,Wireless80211,EG,,156.220.7.175,TE Data,3f702235-ea4a-4bc4-8d91-5e3c00192c47,/Date(1561539238134+0000)/,8.8.8.8,106,104,104,104
8452,WIFI,EG,163.121.128.214,156.196.126.48,TE Data,5d6ecf66-3f9c-4f10-bde4-6c728f71e9d3,/Date(1561539243408+0000)/,8.8.8.8,56,143,70,89
36992,WIFI,EG,62.140.79.242,217.52.184.166,Etisalat Misr,ff38586e-a03f-4ae4-a97f-d8035f86ef09,/Date(1561539259132+0000)/,8.8.8.8,107,112,120,113
8452,WIFI,EG,163.121.128.214,41.47.6.246,TE Data,ff7f6161-2b11-4ac1-8017-af8b6702966b,/Date(1561539264464+0000)/,8.8.8.8,73,145,81,99
8452,WIFI,EG,156.200.40.66,197.32.174.165,TE Data,f87ea5a0-0848-484f-a64c-ca212f775c4d,/Date(1561539265595+0000)/,8.8.8.8,79,79,90,82
8452,WIFI,EG,163.121.128.206,41.46.57.13,TE Data,3f65e197-9d08-4864-b561-e822e16e862f,/Date(1561539271407+0000)/,8.8.8.8,59,60,60,59
24863,WIFI,EG,41.128.84.2,45.243.144.63,Link Egypt,f258173b-9e02-4d8c-aa36-9e307040f032,/Date(1561539239804+0000)/,9.9.9.9,101,97,96,98
8452,WIFI,EG,163.121.128.214,156.196.126.48,TE Data,5d6ecf66-3f9c-4f10-bde4-6c728f71e9d3,/Date(1561539240553+0000)/,9.9.9.9,98,103,93,98
8452,Wireless80211,EG,,156.220.7.175,TE Data,3f702235-ea4a-4bc4-8d91-5e3c00192c47,/Date(1561539240850+0000)/,9.9.9.9,98,98,99,98
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561539241583+0000)/,9.9.9.9,25,17,17,19
8452,WIFI,EG,163.121.128.214,41.47.6.246,TE Data,ff7f6161-2b11-4ac1-8017-af8b6702966b,/Date(1561539249979+0000)/,9.9.9.9,208,150,96,151
