testid,cc,server,ping_type
5380f35d-0cb9-489b-b907-01addacc3631,EG,1.1.1.1,icmp
c3a9165c-b80d-480b-9b56-3c5ca074a95b,EG,8.8.8.8,icmp
98aca3ca-e772-4c46-bdeb-ecb44ef5ca96,EG,9.9.9.9,icmp
4c674c85-f740-4755-89a2-0305507aa4d4,BJ,1.1.1.1,icmp
16198d5a-e1fe-44b7-ad2a-ca20e7defbd2,BJ,8.8.8.8,icmp
c4a12af6-6dc8-47db-8a01-2a7f0704f4d7,BJ,9.9.9.9,icmp
1de23cf3-f46a-451f-91cf-ce976ec00243,CI,1.1.1.1,icmp
c0e10cee-98a4-4258-9a77-e624bda35c6a,CI,8.8.8.8,icmp
394b067b-b8d6-47c7-8046-4780cf6a4758,CI,9.9.9.9,icmp
d05c069e-c596-4216-a086-2af519e64a79,CV,1.1.1.1,icmp
b1f45122-d5f6-4fd2-b526-79dc8cc59d27,CV,8.8.8.8,icmp
2abf482b-90f5-4996-a011-6de9919b19e6,CV,9.9.9.9,icmp
39ea550d-ef69-459b-ada1-8cb5af63f0bb,GH,1.1.1.1,icmp
aa3954b6-1f48-4ac0-af05-46d9408d6455,GH,8.8.8.8,icmp
177c1c1f-5592-4f25-b346-087ed4d8ce99,GH,9.9.9.9,icmp
e1b44f8d-fa43-418c-b292-1c3229d07e2c,GM,1.1.1.1,icmp
3aec443d-33e9-46c0-9492-909b8fdabcdf,GM,8.8.8.8,icmp
d683003c-0b8e-4b61-9a80-eaa5f2a153cc,GM,9.9.9.9,icmp
dbf38d6e-a7b3-4d4e-8460-ba98d58c5312,GN,1.1.1.1,icmp
7e611be4-b33a-40c3-a4c5-d41e64954625,GN,8.8.8.8,icmp
20f8d67b-8703-42e8-a0b7-d8b9167c4890,GN,9.9.9.9,icmp
5711f9a7-5d55-47d9-b5c4-942b286d5768,GW,1.1.1.1,icmp
f1142854-f0c3-4eca-b114-13524ae8efa7,GW,8.8.8.8,icmp
608413ca-ea3e-45da-a4af-6c2f2615e260,GW,9.9.9.9,icmp
d91c2071-3bbb-461a-a285-ea7289c28f80,AO,1.1.1.1,icmp
1063b5c5-3e18-4b46-9144-0fff96cb3e0b,AO,8.8.8.8,icmp
32eca673-1376-46e7-8673-208f74ec651c,AO,9.9.9.9,icmp
24605612-6b71-4996-bfa6-db04c8cf0d28,CF,1.1.1.1,icmp
b6a77fa3-8108-4318-bc8b-357721cdc4a0,CF,8.8.8.8,icmp
5ed8d382-b6d5-46f5-b1c0-ebe40dd1e387,CF,9.9.9.9,icmp
aa4a9d51-c6c7-4e24-ae47-8473b60081a4,CG,1.1.1.1,icmp
753dc2b9-f22f-4d9e-b14c-c854720191a9,CG,8.8.8.8,icmp
32bad5e5-190d-466c-8bb2-29dea143c418,CG,9.9.9.9,icmp
e6dc5aa7-c3fc-4276-8096-4c91b62cdf35,CM,1.1.1.1,icmp
37c39fb2-11e4-4fc2-b3fe-b2b5b36e62d2,CM,8.8.8.8,icmp
f1d08afa-9eac-4697-97df-6ef9d81262fc,CM,9.9.9.9,icmp
d70cfc6d-ba99-4e21-afdd-e095867d80d3,GA,1.1.1.1,icmp
9ea64fa1-5e90-48d0-b48d-a1a8fff45526,GA,8.8.8.8,icmp
2fe029d5-bc7a-49c3-90b9-61b312a62c89,GA,9.9.9.9,icmp
ce81eda6-77ab-4169-bc2b-db6aee4f8805,GQ,1.1.1.1,icmp
6e5f61c3-6b38-43e5-ba34-45009216dedc,GQ,8.8.8.8,icmp
65978800-fcb0-4c24-85cd-0700003c427f,GQ,9.9.9.9,icmp
e6fa27b1-031e-4f6f-b959-1516c30401bb,TD,1.1.1.1,icmp
fc860ca7-3bfa-43e3-8d47-03472c66e38a,TD,8.8.8.8,icmp
a980f8c3-df3c-4978-a512-17f9386842b6,TD,9.9.9.9,icmp
61ce8928-9781-4547-bc99-56cea88005e7,BI,1.1.1.1,icmp
b441be1c-9605-403c-987f-c37d1ff967c9,BI,8.8.8.8,icmp
6e2e5a6f-e469-4d74-a401-b9d62d182fdf,BI,9.9.9.9,icmp
9ea3813c-d2b9-4dd0-a476-39c1d6e99fcc,DJ,1.1.1.1,icmp
7712923c-438d-41d6-af92-f7656d2ba485,DJ,8.8.8.8,icmp
0ac010bc-a562-452c-8cff-f71ca38528fc,DJ,9.9.9.9,icmp
377d0ec3-20cb-46a8-aa76-680dd8dbe07c,ER,1.1.1.1,icmp
ab5ab36f-1e0f-4b3a-b7ff-2c7ac600d6ad,ER,8.8.8.8,icmp
6b634a3b-571d-480d-b1a0-12fdc522b4de,ER,9.9.9.9,icmp
29493977-4ccb-426e-a6ed-246d286aab62,ET,1.1.1.1,icmp
0acda3f1-bf5b-449f-8c55-eb6f6d2cf09c,ET,8.8.8.8,icmp
d2d33429-2a7c-4af8-9ec6-0bb41c0b6033,ET,9.9.9.9,icmp
75a58cdb-cd30-4138-a8fe-7ee87665ba83,KM,1.1.1.1,icmp
1a91645c-07d8-4895-a217-8145df04a074,KM,8.8.8.8,icmp
30910324-7d58-411c-8e8a-26c18eafbb47,KM,9.9.9.9,icmp
1b50a6d8-38ff-4d9b-99bd-f18986c435b8,BW,1.1.1.1,icmp
efa99d6b-461e-4eac-9055-6dfa669c4e94,BW,8.8.8.8,icmp
017d5966-6c5e-481b-9a45-751a42a4a36e,BW,9.9.9.9,icmp
00ee158e-50c1-4925-b84a-4c1f9c95c4a6,MA,1.1.1.1,icmp
af0e3719-3705-42b7-a2b3-73a6cc351054,MA,8.8.8.8,icmp
631ed9e6-0fe9-40f7-9c1c-626ec3af26ac,MA,9.9.9.9,icmp
d053b66e-d4aa-48d3-bfc9-401b5ac819b0,SD,1.1.1.1,icmp
068978c2-4a0e-441c-813e-2e1b87035032,SD,8.8.8.8,icmp
9b09db19-47e4-4fc8-b96d-c12831c35983,SD,9.9.9.9,icmp
ed02018a-b7f8-4c3c-bec9-5bf986b87825,TN,1.1.1.1,icmp
3ff051df-08d8-4289-a411-3760f6f8480a,TN,8.8.8.8,icmp
