testid,cc,server,ping_type
81f6b1b7-7cd8-4a60-b8b7-da3729f05678,EG,1.1.1.1,icmp
fcc3155a-45fe-41dc-b28f-560ad5b833cb,EG,8.8.8.8,icmp
b0a5d797-569b-4c8a-91ce-9ac57a1e4f70,EG,9.9.9.9,icmp
000b8be8-7cfb-4c66-bb83-33272d7ab54d,BJ,1.1.1.1,icmp
d46f2181-2ced-4e43-ad07-2936363c69af,BJ,8.8.8.8,icmp
80cd306f-dc21-439c-8316-317bc14e0ad8,BJ,9.9.9.9,icmp
be6b7b6a-581c-49d3-9c0b-feec5b3000d0,CI,1.1.1.1,icmp
e6266459-82e8-4359-8d48-d152027baac6,CI,8.8.8.8,icmp
af8b4861-3ab1-4e46-8313-65580f2e49d7,CI,9.9.9.9,icmp
a810e4b9-401c-4250-bdef-1b2ff9c9a554,CV,1.1.1.1,icmp
dd259b0a-9cad-415f-b808-ed6a61273114,CV,8.8.8.8,icmp
80f33c50-5f78-482a-ad89-979c54dc42c2,CV,9.9.9.9,icmp
58f5fa1c-c3dd-4d3e-a8a6-4fccd911be8a,GH,1.1.1.1,icmp
fb6e127d-d542-4828-a2bc-573ab3c02ae9,GH,8.8.8.8,icmp
96518cf1-4f2a-4d7b-b68e-3b9a0d747fc9,GH,9.9.9.9,icmp
f0b5fe78-c4ff-4ccd-a83e-e82568a625df,GM,1.1.1.1,icmp
2b2c7d03-325a-4454-9ff6-905854e96011,GM,8.8.8.8,icmp
e0761379-586c-4348-8e71-1070a30377da,GM,9.9.9.9,icmp
81d13d7f-d4dc-41b8-a78a-eacfa8632031,GN,1.1.1.1,icmp
b5b7e4d8-d605-4b7a-b3f7-3096b6a54db1,GN,8.8.8.8,icmp
b3848cd6-d129-4367-81af-3b5c76d4a57b,GN,9.9.9.9,icmp
30194e8d-5b51-433b-bdbb-fbc5edfd4bd9,GW,1.1.1.1,icmp
f757a939-40e0-44d6-8de5-a21a2fa24a78,GW,8.8.8.8,icmp
ee4407b5-8e31-485f-a85a-98383825a7fa,GW,9.9.9.9,icmp
5c0bb067-aab1-4ca7-8ad8-37e3afdd3b22,AO,1.1.1.1,icmp
5689e337-0a1f-4731-a106-a1f35e819505,AO,8.8.8.8,icmp
ebf196cd-dd97-4511-b3ab-f13b51f67a42,AO,9.9.9.9,icmp
0ca8ee4a-ef9c-40a5-a316-e5c5be9ebe87,CF,1.1.1.1,icmp
f91a22b0-2949-40b3-8ddd-0024da39cba1,CF,8.8.8.8,icmp
9bf181b8-7f24-4a67-bf8a-d930074dd351,CF,9.9.9.9,icmp
de96b101-d39d-4a5b-b6a5-c276c32f480b,CG,1.1.1.1,icmp
e6c666c9-9462-4791-927f-b4dc302788d1,CG,8.8.8.8,icmp
d3e06e9f-00bd-49ac-9596-4fca4e7cdc8e,CG,9.9.9.9,icmp
871f4cc9-35e8-48a1-9c4d-a65c7f74dbe8,CM,1.1.1.1,icmp
ad396fc8-df38-4c0a-99b0-82971742627a,CM,8.8.8.8,icmp
44af60f5-8e51-441e-b18e-5b6ddc7e29cb,CM,9.9.9.9,icmp
7c6cc223-2562-4623-9661-95634f0a44e0,GA,1.1.1.1,icmp
1c908a26-473b-4415-bf7d-ccc1b9c057fe,GA,8.8.8.8,icmp
2987fe8d-fc35-46d5-bac5-857cfd04df67,GA,9.9.9.9,icmp
e9ad1873-5213-4ecf-99c5-1841d6e4c7fd,GQ,1.1.1.1,icmp
2fbec91f-0acc-42e3-b45e-c38ff25fcce3,GQ,8.8.8.8,icmp
0945650e-bca1-4691-9f92-c30c1ac83a69,GQ,9.9.9.9,icmp
c5331c03-2723-4576-8c72-19e67b6a09ac,TD,1.1.1.1,icmp
8ac635cf-ed70-41c7-bec2-4cdd01eb57b4,TD,8.8.8.8,icmp
7342f0fd-61c1-409b-a132-ed75fa9103c7,TD,9.9.9.9,icmp
