testid,cc,server
d234c7f3-6f70-46ea-b8e9-ce81c5a09ae8,EG,1.1.1.1
6238ccc0-977d-40fd-8a7b-d0ab0f24ccf7,EG,8.8.8.8
97ae94fa-32e4-4c48-af85-97d196d9191e,EG,9.9.9.9
95c28482-4ef3-46aa-90fe-fd2a4cb78aa1,BJ,1.1.1.1
1de2e1a9-0a70-4f25-b31a-ba030f1e7337,BJ,8.8.8.8
1aa17367-9fcd-406e-9c6d-2c489c4fbb5e,BJ,9.9.9.9
9abf609a-6627-42f1-b67e-3b9f8ac88e72,CI,1.1.1.1
76c8da4c-9e31-42ac-bd96-0da86416ecc3,CI,8.8.8.8
28d1fbfd-c884-4693-b734-809ec14b03f8,CI,9.9.9.9
efbfd33d-bfad-430a-b2a6-ddcd8528dc37,CV,1.1.1.1
28682102-dd0e-47d2-822c-760d03592acd,CV,8.8.8.8
40b20dcb-b0ca-4a6b-ae6b-746ac98b3859,CV,9.9.9.9
8e016c03-71cc-4a87-bf7d-24795d6d08e8,GH,1.1.1.1
1241d518-8721-4852-b6c7-7f31696ebc95,GH,8.8.8.8
e3c51264-1f4d-4952-b136-2b432c66588f,GH,9.9.9.9
df4e1763-bef9-4978-a9f8-d716614b4a01,GM,1.1.1.1
9a92a47b-f99c-42ca-908f-f57df3548fe9,GM,8.8.8.8
214c91bd-8a75-49d2-94e5-1c96370f61c6,GM,9.9.9.9
ab80fef6-edbd-4730-bc51-e56500af92e5,GN,1.1.1.1
77b4ece5-40aa-437a-b010-de8a2fd861d2,GN,8.8.8.8
39a100d5-4689-46b8-956a-cb46ca4982a3,GN,9.9.9.9
0c2d91c4-de75-4366-b33c-5a24e7268ac7,GW,1.1.1.1
087c1be1-9961-4ba9-982b-6dc8ed7989a9,GW,8.8.8.8
56d13bf8-4f10-4dfa-bf5a-ee43a0bbad93,GW,9.9.9.9
f1d8ff22-d8cb-4df8-a835-b7ca3813f22e,AO,1.1.1.1
d38b110e-9202-4e22-a461-964f0e53c3d4,AO,8.8.8.8
32ad113f-baf2-4927-8312-6f75aaf09641,AO,9.9.9.9
75b91240-ca73-4c65-9427-6061d3f360f8,CF,1.1.1.1
b790ed4f-d94d-4ac3-804e-3fb0ab855ac5,CF,8.8.8.8
c8846420-5f9a-46de-9a26-394b18ae022f,CF,9.9.9.9
e3df807a-6363-4642-baeb-04ce6768f195,CG,1.1.1.1
41acdb79-c73b-4c6a-87dc-d9af9aa02e71,CG,8.8.8.8
cb8e5387-b1b0-440a-bbcc-97e4b9ee55f5,CG,9.9.9.9
41887f58-5d76-4bf0-8ea4-0db435866e38,CM,1.1.1.1
7bcf3a5f-0528-4810-88f9-39bf42309514,CM,8.8.8.8
6eee3526-34d6-4b67-8ca8-9cc6fb82eb94,CM,9.9.9.9
a3e33b9d-cf58-4b7d-ad28-aa6ef54af7cf,GA,1.1.1.1
a013aa1f-6b4a-4414-92ef-58a26b3ecac1,GA,8.8.8.8
2bd16604-03d3-4ef7-b654-22f7efe36573,GA,9.9.9.9
800e8d51-8a8c-47bf-b393-18d6e9b12ba1,GQ,1.1.1.1
ae5b40a9-de86-48ff-9187-a8ebc12d6133,GQ,8.8.8.8
cdc0a5ef-a8b6-4819-a510-f136b756eb0e,GQ,9.9.9.9
2d377117-1aea-40c0-b6d6-29e9593b85da,TD,1.1.1.1
9bd48276-b24a-4ced-82d3-98f68c803e54,TD,8.8.8.8
5f8eb758-0946-43b1-9396-f4cd5b2dae82,TD,9.9.9.9
2e3b778c-bbf3-4c85-bd2a-e420d90bfebb,BI,1.1.1.1
6695f782-e538-4c97-87b6-f55f9f2ab5c4,BI,8.8.8.8
fbc6a057-4582-41ac-9b56-735a8737281a,BI,9.9.9.9
a9cfb248-2024-4191-bb3e-d79d6a78d282,DJ,1.1.1.1
69a343e6-4a84-42c0-abd5-d3a954c106f5,DJ,8.8.8.8
a3c6b3e0-e542-4d8b-9dd2-e79de9699b23,DJ,9.9.9.9
b24fba7c-f88d-447f-bd35-87776e764eab,ER,1.1.1.1
ecf3ecf8-dbcd-4c3a-b996-c0b94f5e3212,ER,8.8.8.8
2acc8be9-bb25-40bc-914c-7cb35952e036,ER,9.9.9.9
15c2958f-922d-4032-94f3-536bee32d9b6,ET,1.1.1.1
9ca879b8-121e-44b9-b8ad-c0e3eefff706,ET,8.8.8.8
59fb9c3d-c922-4a8d-a55e-d23631a0b129,ET,9.9.9.9
9cebe920-31a4-4ea2-83c5-7987faca05d8,KM,1.1.1.1
d678b143-19e1-49a9-9665-99c803236507,KM,8.8.8.8
4076d207-147d-422a-87f3-e5dd3255137e,KM,9.9.9.9
c1202d73-c259-4917-8121-2b634a040a8b,BW,1.1.1.1
3d2b8f13-2e30-4d61-90e6-956782e1a2e5,BW,8.8.8.8
0730f664-477e-4b5c-aee1-98411eb40307,BW,9.9.9.9
4785897c-17ba-438e-ae63-50bcfb4c4eea,MA,1.1.1.1
c1a3818a-bdb8-40c8-9de8-96742553da0c,MA,8.8.8.8
fa224595-0f70-420f-a253-094e4f16179b,MA,9.9.9.9
5ae5eab9-d638-4002-9e26-4e795f82f8bc,SD,1.1.1.1
69aa5ec2-4d77-47de-8cbe-3430f785e6b8,SD,8.8.8.8
2700eb51-d1d6-42ae-8fd9-16b56d14df67,SD,9.9.9.9
34de03e0-9d73-4c01-9ca9-72519b28d796,TN,1.1.1.1
edfe2fb7-a145-4edb-b75a-05c337f98c86,TN,8.8.8.8
4cd0f32e-f2d8-4beb-81f8-1d3399dee987,TN,9.9.9.9
096c6fa2-8552-4e39-afe5-188fcd2c85a5,LR,1.1.1.1
bbc0bc90-27bb-4479-9e78-e44274bd6f63,LR,8.8.8.8
bbbe39cd-2faf-4392-bd0a-1384792ae1a7,LR,9.9.9.9
039b6e36-a5f5-4e81-83ac-f069bfe159c2,ML,1.1.1.1
395be003-7453-4962-977d-ccd2d2ca225b,ML,8.8.8.8
de91a5c0-fe8f-411f-bc37-4cdba34e65df,ML,9.9.9.9
86f6e8e4-e07a-4bd9-87a6-5661ba9ba5f9,MR,1.1.1.1
00297f48-197c-412c-b7f1-eadc408ab2be,MR,8.8.8.8
78e784ec-7e31-4be0-81fc-9c026a6d7538,MR,9.9.9.9
fb866d99-b0c2-42cb-a7c9-8650a566bd07,NE,1.1.1.1
7aa43129-163c-4bb1-9d36-7b2d7c2855f0,NE,8.8.8.8
7a4452d5-e7c1-459e-8667-1e54aeea75fc,NE,9.9.9.9
d1cec76a-ed6e-4706-ad34-4b52b95a8667,NG,1.1.1.1
5a6ba89d-27af-40c7-b644-428c20b8fb75,NG,8.8.8.8
e87115b9-489b-4d0b-b7f9-92914593a49c,NG,9.9.9.9
ff49d572-9dc5-4cbd-b48e-ef1762537b25,SL,1.1.1.1
c7e5f697-21ce-418d-adf4-286d5b8f94e0,SL,8.8.8.8
d4414444-27d4-483a-8335-6110c1c04786,SL,9.9.9.9
70ca6ee0-96a4-4125-97f9-9ffe82a80d2c,SN,1.1.1.1
2a21e353-d288-4736-8c53-e6b61cb9efaf,SN,8.8.8.8
02e08e8d-4bf0-45be-977f-38843fbc56d7,SN,9.9.9.9
0b7a97a9-0c74-4724-a0b5-815220fa0a19,TG,1.1.1.1
69247333-84c0-41b7-9454-27e1374ea289,TG,8.8.8.8
0baded33-6596-43cb-ad8f-8a262d8f0f92,TG,9.9.9.9
1a896295-8bba-4409-a875-0531fd18b6a2,ST,1.1.1.1
0b0b7dec-6cb6-42b8-846b-d5d3da86212a,ST,8.8.8.8
194156a1-bef5-4c75-b12f-b42d1b0c570d,ST,9.9.9.9
8cdb6562-73a1-400a-b148-c2b9edccc127,KE,1.1.1.1
4b86798a-7bb5-40dc-a896-83e6fc1cc770,KE,8.8.8.8
443b85da-b692-4a2f-9176-7a415d4254bc,KE,9.9.9.9
29714343-64dc-4947-a92e-59075dd22b34,MG,1.1.1.1
