ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
29571,Wireless80211,CI,154.68.9.20,154.68.5.131,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561593773216+0000)/,,132,NoError,local
29571,Wireless80211,CI,154.68.9.20,154.68.5.131,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561593773104+0000)/,1.1.1.1,113,NoError,remote
29571,Wireless80211,CI,154.68.9.20,154.68.5.131,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561593774314+0000)/,8.8.8.8,195,NoError,remote
29571,Wireless80211,CI,154.68.9.20,154.68.5.131,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561593775990+0000)/,9.9.9.9,83,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.204.33.136,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561593771587+0000)/,,139,FormErr,local
36947,Ethernet,DZ,41.110.32.2,105.98.91.40,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561593774838+0000)/,,78,NoError,local
36947,Ethernet,DZ,41.110.32.2,197.204.33.136,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561593772945+0000)/,1.1.1.1,87,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.91.40,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561593776522+0000)/,1.1.1.1,54,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.204.33.136,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561593774161+0000)/,8.8.8.8,101,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.91.40,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561593783099+0000)/,8.8.8.8,37,NoError,remote
36947,Ethernet,DZ,41.110.32.2,197.204.33.136,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561593775877+0000)/,9.9.9.9,154,Refused,remote
36947,Ethernet,DZ,41.110.32.2,105.98.91.40,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561593785323+0000)/,9.9.9.9,85,NoError,remote
8452,Wireless80211,EG,156.200.40.66,41.238.66.189,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561593791213+0000)/,,9001,NoError,local
8452,Ethernet,EG,163.121.128.206,156.223.10.65,TE Data,f7be9f96-17cd-4d73-a055-ed91b74b9377,/Date(1561594878072+0000)/,,3997,NoError,local
8452,Wireless80211,EG,156.200.40.66,41.238.66.189,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561593778862+0000)/,1.1.1.1,35,ServFail,remote
8452,Ethernet,EG,163.121.128.206,156.223.10.65,TE Data,f7be9f96-17cd-4d73-a055-ed91b74b9377,/Date(1561594873206+0000)/,1.1.1.1,51,ServFail,remote
8452,Wireless80211,EG,156.200.40.66,41.238.66.189,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561593779920+0000)/,8.8.8.8,66,NoError,remote
8452,Ethernet,EG,163.121.128.206,156.223.10.65,TE Data,f7be9f96-17cd-4d73-a055-ed91b74b9377,/Date(1561594874186+0000)/,8.8.8.8,79,NoError,remote
8452,Wireless80211,EG,156.200.40.66,41.238.66.189,TE Data,a4ab3531-b4d4-443d-89e1-14e0a2b2e455,/Date(1561593781017+0000)/,9.9.9.9,81,NoError,remote
8452,Ethernet,EG,163.121.128.206,156.223.10.65,TE Data,f7be9f96-17cd-4d73-a055-ed91b74b9377,/Date(1561594875196+0000)/,9.9.9.9,116,NoError,remote
29614,Wireless80211,GH,,41.210.1.70,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561593779362+0000)/,,83,NoError,local
29614,Wireless80211,GH,,41.210.1.70,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561593780394+0000)/,1.1.1.1,99,NoError,remote
29614,Wireless80211,GH,,41.210.1.70,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561593781548+0000)/,8.8.8.8,110,NoError,remote
29614,Wireless80211,GH,,41.210.1.70,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561593782985+0000)/,9.9.9.9,5,Refused,remote
6713,Ethernet,MA,81.192.17.18,196.92.5.102,Maroc Telecom,98156c23-0e8a-49fd-8884-7951b96c3cb6,/Date(1561593781177+0000)/,,34,NoError,local
36903,Ethernet,MA,81.192.21.50,105.158.218.203,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561593782088+0000)/,,3,NoError,local
