ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163775461+0000)/|1.1.1.1|99|100|100|99
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163778802+0000)/|8.8.8.8|111|111|111|111
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163781869+0000)/|9.9.9.9|6|5|5|5
30992|Wireless80211|CM|212.72.53.209|129.0.79.245|MTN Cameroon|1ebc4dd3-da8a-4d6e-ab66-c49518532876|/Date(1561163788009+0000)/|1.1.1.1|200|167|167|178
30992|Wireless80211|CM|212.72.53.209|129.0.79.245|MTN Cameroon|1ebc4dd3-da8a-4d6e-ab66-c49518532876|/Date(1561163792091+0000)/|8.8.8.8|168|163|166|165
30992|Wireless80211|CM|212.72.53.209|129.0.79.245|MTN Cameroon|1ebc4dd3-da8a-4d6e-ab66-c49518532876|/Date(1561163796096+0000)/|9.9.9.9|212|171|171|184
37545|Ethernet|BI|41.79.227.136|41.79.224.10|BBSS|e078462a-e8dc-4d49-9d4f-14d72fee451b|/Date(1561163794323+0000)/|1.1.1.1|75|75|75|75
37545|Ethernet|BI|41.79.227.136|41.79.224.10|BBSS|e078462a-e8dc-4d49-9d4f-14d72fee451b|/Date(1561163798047+0000)/|8.8.8.8|30|30|30|30
37545|Ethernet|BI|41.79.227.136|41.79.224.10|BBSS|e078462a-e8dc-4d49-9d4f-14d72fee451b|/Date(1561163801188+0000)/|9.9.9.9|1|2|2|1
30990|Unknown|DJ||196.201.202.76|Djibouti Telecom S.A.|b7c5d3b2-36cc-4f61-8d42-319d01964bbb|/Date(1561163794599+0000)/|1.1.1.1|3|3|3|3
35017|adsl|DJ||23.227.207.7|Swiftway Communications|d23a77bf-168b-40f9-99e2-34aae1711237|/Date(1561163794750+0000)/|1.1.1.1|147|308|283|246
30990|Unknown|DJ||196.201.202.76|Djibouti Telecom S.A.|b7c5d3b2-36cc-4f61-8d42-319d01964bbb|/Date(1561163794949+0000)/|8.8.8.8|37|38|37|37
35017|adsl|DJ||23.227.207.7|Swiftway Communications|d23a77bf-168b-40f9-99e2-34aae1711237|/Date(1561163795164+0000)/|8.8.8.8|276|174|238|229
30990|Unknown|DJ||196.201.202.76|Djibouti Telecom S.A.|b7c5d3b2-36cc-4f61-8d42-319d01964bbb|/Date(1561163795617+0000)/|9.9.9.9|68|67|67|67
35017|adsl|DJ||23.227.207.7|Swiftway Communications|d23a77bf-168b-40f9-99e2-34aae1711237|/Date(1561163795812+0000)/|9.9.9.9|506|148|147|267
36903|WIFI|MA|81.192.17.90|160.177.85.183|Maroc Telecom ADSL|8453dbea-a09d-455c-b829-d1c71d24c3b7|/Date(1561163807554+0000)/|1.1.1.1|70|81|82|77
36903|WIFI|MA|81.192.17.82|41.251.39.19|Maroc Telecom|24ba0018-b911-454f-8c70-33fdd7d136fd|/Date(1561163810362+0000)/|1.1.1.1|33|31|31|31
36903|WIFI|MA|81.192.17.22|196.64.112.X|Maroc Telecom|NONE|/Date(1561163810560+0000)/|1.1.1.1|31|35|31|32
36903|WIFI|MA|81.192.17.22|41.249.153.29|Maroc Telecom|3ade00c7-ff54-40bd-b581-edf970403cb2|/Date(1561163810847+0000)/|1.1.1.1|37|67|37|47
36903|WIFI|MA|81.192.17.86|41.140.153.176|Maroc Telecom|d0af51a1-0c2d-4c55-a5a5-23355b1e7c8d|/Date(1561163811191+0000)/|1.1.1.1|54|66|72|64
36903|WIFI|MA|81.192.17.18|105.156.132.29|Maroc Telecom|736aa564-742d-461b-8aaa-e8964e919dc6|/Date(1561163811359+0000)/|1.1.1.1|80|80|84|81
36903|WIFI|MA|81.192.17.22|41.250.100.73|Maroc Telecom|fa8c1af0-6007-40d1-b53b-828a86a6d000|/Date(1561163811858+0000)/|1.1.1.1|60|59|61|60
36903|Ethernet|MA|81.192.21.50|41.248.184.243|Maroc Telecom|2c0ee6f1-ac2b-4295-8e47-9a016898c5a7|/Date(1561163813260+0000)/|1.1.1.1|32|30|30|30
36903|WIFI|MA|81.192.17.86|196.74.114.61|Maroc Telecom|799e45fb-4016-4ceb-846f-aa0eb96737c4|/Date(1561163813392+0000)/|1.1.1.1|46|68|42|52
36925|WIFI|MA|197.230.202.131|196.121.46.62|Orange Morocco|90050810-117a-42d7-b53a-814cdde58c53|/Date(1561163813559+0000)/|1.1.1.1|38|33|32|34
36903|WIFI|MA|81.192.17.86|105.156.227.159|Maroc Telecom|78050e37-ad66-4adc-aff7-ee9842515673|/Date(1561163804829+0000)/|8.8.8.8|166|64|68|99
36903|WIFI|MA|81.192.17.26|196.65.184.79|Maroc Telecom|3873a8aa-e68f-4ef6-b394-caf325dbe3c3|/Date(1561163806365+0000)/|8.8.8.8|70|70|70|70
36903|WIFI|MA|81.192.17.22|41.140.37.124|Maroc Telecom|b68b4f0c-36bd-4140-9d88-09de2c764db9|/Date(1561163807357+0000)/|8.8.8.8|65|102|123|96
36903|WIFI|MA|81.192.17.90|105.158.155.X|Maroc Telecom|NONE|/Date(1561163807491+0000)/|8.8.8.8|135|121|79|111
36903|WIFI|MA|81.192.17.82|41.250.144.253|Maroc Telecom|377c209e-5814-4b54-9725-809da43c4e49|/Date(1561163807863+0000)/|8.8.8.8|168|100|148|138
36903|WIFI|MA|81.192.17.86|105.157.249.48|Maroc Telecom|bbdbaadf-ccb2-48e6-9132-86abe01535ba|/Date(1561163808956+0000)/|8.8.8.8|199|98|185|160
36903|WIFI|MA|81.192.17.26|196.74.21.245|Maroc Telecom|7d937b9c-821b-439b-8e1a-8919820ccc7a|/Date(1561163811287+0000)/|8.8.8.8|245|71|72|129
36925|WIFI|MA|197.230.202.131|196.121.32.198|Orange Morocco|3cdb25b2-b1ba-46c0-a1a2-21d6157c3c29|/Date(1561163812448+0000)/|8.8.8.8|73|87|84|81
