ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
36907,Ethernet,AO,172.217.41.6,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561483046616+0000)/,,107,NoError,local
36907,Ethernet,AO,172.217.41.6,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561483047954+0000)/,1.1.1.1,49,ServFail,remote
36907,Ethernet,AO,172.217.41.6,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561483049258+0000)/,8.8.8.8,120,NoError,remote
36907,Ethernet,AO,172.217.41.6,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561483051013+0000)/,9.9.9.9,56,NoError,remote
327830,Wireless80211,BW,169.255.80.0,169.255.82.255,Concerotel,b349141b-848d-4dc3-8069-6cbcc6e9cce8,/Date(1561483049176+0000)/,,13,NoError,local
327830,Wireless80211,BW,169.255.80.0,169.255.82.255,Concerotel,b349141b-848d-4dc3-8069-6cbcc6e9cce8,/Date(1561483050319+0000)/,1.1.1.1,21,NoError,remote
327830,Wireless80211,BW,169.255.80.0,169.255.82.255,Concerotel,b349141b-848d-4dc3-8069-6cbcc6e9cce8,/Date(1561483051398+0000)/,8.8.8.8,39,NoError,remote
327830,Wireless80211,BW,169.255.80.0,169.255.82.255,Concerotel,b349141b-848d-4dc3-8069-6cbcc6e9cce8,/Date(1561483052349+0000)/,9.9.9.9,29,NoError,remote
29571,Wireless80211,CI,154.68.5.0,154.68.5.150,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561483054574+0000)/,,218,NoError,local
29571,Wireless80211,CI,154.68.9.23,154.68.5.127,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561483058587+0000)/,,43,NoError,local
29571,Wireless80211,CI,154.68.5.0,154.68.5.150,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561483056654+0000)/,1.1.1.1,196,NoError,remote
29571,Wireless80211,CI,154.68.9.23,154.68.5.127,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561483058363+0000)/,1.1.1.1,103,NoError,remote
29571,Wireless80211,CI,154.68.5.0,154.68.5.150,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561483058618+0000)/,8.8.8.8,271,NoError,remote
29571,Wireless80211,CI,154.68.9.23,154.68.5.127,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561483059471+0000)/,8.8.8.8,149,NoError,remote
29571,Wireless80211,CI,154.68.5.0,154.68.5.150,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561483060381+0000)/,9.9.9.9,61,NoError,remote
29571,Wireless80211,CI,154.68.9.23,154.68.5.127,Orange Cote d'Ivoire,cf6b7c20-b7a0-4397-862c-1e14f9f278b4,/Date(1561483061016+0000)/,9.9.9.9,34,NoError,remote
36947,Wireless80211,DZ,41.110.30.2,105.110.168.38,Algerie Telecom,2d81b1d8-b2aa-4ad9-978f-337f24df42a6,/Date(1561483058751+0000)/,,46,NoError,local
