testid,cc,server,dig_type
8e1fa0a4-43be-4213-abdb-d2385b4e123c,TN,1.1.1.1,remote
e5066fd8-e8f5-4d7b-bbf8-4c5166dd0dc9,TN,8.8.8.8,remote
f8ff1524-c171-4023-b05a-8068f1198a94,TN,9.9.9.9,remote
50e7f368-e65b-4160-90e5-a6ba7b1ecf68,UG,,local
6300f48b-868e-497a-ac42-5a4b94de2915,UG,1.1.1.1,remote
39ad17c3-b5d3-487a-9e52-0ea9fcf6f5c0,UG,8.8.8.8,remote
e82bf862-a94a-4f91-b13b-c59114195035,UG,9.9.9.9,remote
8b266e89-bc8d-4ade-b8b1-c3279770da6f,ZA,,local
98e2cd60-7312-4fe8-85c2-d7e7a7516102,ZA,1.1.1.1,remote
b5489aa4-0ca5-4f0d-a9d7-9c700fe5d729,ZA,8.8.8.8,remote
a38488d5-ae45-4b33-961a-d940d83fd31b,ZA,9.9.9.9,remote
7c021759-6d6f-4f41-9e7c-441a14ae4d11,ZW,,local
dd84e16b-4354-4210-9884-a6303fb97a4e,ZW,1.1.1.1,remote
2f6bd23f-7251-4a73-b74d-9510075c2270,ZW,8.8.8.8,remote
a0b577d1-3471-41de-af40-665cfb3181d2,ZW,9.9.9.9,remote
