testid,cc,server,ping_type
9e6089db-f901-4005-8df3-5086c1e9e4c8,SD,1.1.1.1,icmp
98502f0e-2c64-47af-98c0-79e1c67ed6d0,SD,8.8.8.8,icmp
e19bb915-9176-406d-9f01-861c9c2afe5e,SD,9.9.9.9,icmp
0f0ca141-9921-4ade-9062-c30ea7efb0f1,TN,1.1.1.1,icmp
83223e9f-cfa6-4657-86bd-c009627ec5c3,TN,8.8.8.8,icmp
2181537a-953d-4037-a6e4-244fb624b270,TN,9.9.9.9,icmp
c9643216-4cfa-4be2-a1b3-7d10f0db8ebf,LR,1.1.1.1,icmp
ff6bc9d9-16d5-4945-94ef-001bcfb7b693,LR,8.8.8.8,icmp
6cc6f36b-2120-4239-bf66-b43d4b72f633,LR,9.9.9.9,icmp
4ff39289-89c4-4ae0-a9a0-5fb9e086c21b,ML,1.1.1.1,icmp
c0f3c5a7-ef85-4281-a3df-2a9e36a480ce,ML,8.8.8.8,icmp
5262e000-49cd-4a16-bb77-8819f66657be,ML,9.9.9.9,icmp
64a2ae7e-412d-4baa-a9df-4be5bfcf08bc,MR,1.1.1.1,icmp
939bc9fc-4101-4128-9940-74b48c17903b,MR,8.8.8.8,icmp
d24b4948-bf6b-497f-a293-fe4f444f7a46,MR,9.9.9.9,icmp
129725f5-69a3-4fc5-8582-6168cb5c55f5,NE,1.1.1.1,icmp
2e65496b-4833-47b8-8c1f-1de94bf68faa,NE,8.8.8.8,icmp
fe24e178-1867-4e30-aa79-1a1326bb9d03,NE,9.9.9.9,icmp
f7dc065b-bb1d-4748-bd52-0af7ee6544a2,NG,1.1.1.1,icmp
6181971d-27e4-4211-85ec-179ecf3afacd,NG,8.8.8.8,icmp
1925a1c0-d6bc-42f7-8c5e-2131d1f6fb6a,NG,9.9.9.9,icmp
59fc0f13-1b86-40b4-80a2-9d58cfb4c6a5,SL,1.1.1.1,icmp
74a56019-5f07-4b8d-8f1c-c7fdbb7704df,SL,8.8.8.8,icmp
cd900e47-48fd-4eb2-baa0-eb93e6d8669f,SL,9.9.9.9,icmp
b45152b9-1224-4d5c-ad95-6adbd853e1e3,SN,1.1.1.1,icmp
d33f1725-5c09-482c-9493-c71eadbe73f6,SN,8.8.8.8,icmp
1afba7c9-3c0a-47fa-866e-72f7e6e80555,SN,9.9.9.9,icmp
dc833209-96bf-4eaf-9685-517f55ba43ca,TG,1.1.1.1,icmp
1b9cf51e-53cf-4db8-ab2c-7f65bd2cdd23,TG,8.8.8.8,icmp
ed11578e-d68a-459c-8fc6-3f23c024a381,TG,9.9.9.9,icmp
e3fc9b81-868c-41c9-afe0-df6202f380d3,ST,1.1.1.1,icmp
a0e3c6c7-f7e2-4588-891b-d03b8a411eae,ST,8.8.8.8,icmp
58c4c670-6760-4d44-8a25-f244baf59bf7,ST,9.9.9.9,icmp
e4e9325f-73c7-4f7f-96a8-e27693aaf9df,KE,1.1.1.1,icmp
6a73bffa-bb4a-4fb6-b4ff-7f34fc087f46,KE,8.8.8.8,icmp
d896f8b1-da02-457d-a4dd-218654050cbe,KE,9.9.9.9,icmp
0526ab7f-2859-447f-a024-ea74470623b9,MG,1.1.1.1,icmp
33badefa-bd55-4471-9dc4-2b0050de212d,MG,8.8.8.8,icmp
1bd2e426-2454-42bc-9351-6ea9e253804d,MG,9.9.9.9,icmp
00078d78-95bc-48bf-8f25-fbd84b979487,MU,1.1.1.1,icmp
bfd73b06-9a55-40e5-b23b-c89543bd56cc,MU,8.8.8.8,icmp
1d35fd47-0724-4877-b02b-54ef3b89e87a,MU,9.9.9.9,icmp
1e0684a9-557d-429a-a01b-1f5cf556d0f4,MW,1.1.1.1,icmp
0d23ace3-1385-4714-9bb5-2c9ca5525599,MW,8.8.8.8,icmp
956243e9-8232-42dc-a7a7-11ca32154226,MW,9.9.9.9,icmp
cb8de4cd-2ab7-4e1a-87ab-77c62d259115,MZ,1.1.1.1,icmp
176423f1-9e77-49df-91bd-b890ea7345ee,MZ,8.8.8.8,icmp
dfdc4b3e-a460-406e-9e44-bf9be6bb797b,MZ,9.9.9.9,icmp
2eb77b1d-77af-4f2c-84c0-d75df41274c8,RE,1.1.1.1,icmp
4a1e8d85-1346-4f78-9019-1609619d819d,RE,8.8.8.8,icmp
0081deda-6393-4ed2-8447-cbc112ab9a33,RE,9.9.9.9,icmp
4a6bda08-2e12-42cc-bf13-dbe54f9efa87,RW,1.1.1.1,icmp
64e5b1c1-debc-4af3-aa0f-c751cacc533b,RW,8.8.8.8,icmp
de6af1ff-d1c9-47a7-bccb-1afc2872436d,RW,9.9.9.9,icmp
dcca362f-5d10-43b6-889b-72c9fd25d4b1,SC,1.1.1.1,icmp
7ecaced8-c6dc-4370-86eb-ef1904fa5447,SC,8.8.8.8,icmp
cd3ffcef-e847-46c9-ac5d-4203903971a8,SC,9.9.9.9,icmp
70943223-1549-4047-9325-4aa6586cc734,SO,1.1.1.1,icmp
