testid,cc,server,ping_type
5bb017e2-22ab-4c12-9670-bebc937af372,EG,1.1.1.1,icmp
391385e9-c736-4468-b8b5-7d39b0beaee3,EG,8.8.8.8,icmp
e53cad8b-9a01-49e9-9994-add5fc2670e3,EG,9.9.9.9,icmp
edd41ad8-1ea7-4a0a-a5df-5653bfaa1bbc,BJ,1.1.1.1,icmp
9ec36598-16a0-4d12-9b9c-948f577190a2,BJ,8.8.8.8,icmp
21af19cb-37f1-455a-aed4-edfe4714d2f3,BJ,9.9.9.9,icmp
b9789c12-44d1-413e-b0f0-7a8fb6557377,CI,1.1.1.1,icmp
b31295cf-eafa-4390-8ec2-b720af6475ca,CI,8.8.8.8,icmp
b6d08152-5df3-4aed-aa79-a8f633f9b3ee,CI,9.9.9.9,icmp
670c7eb3-802c-44bc-9336-14b7a61d652a,CV,1.1.1.1,icmp
f09ce894-f8d1-4aea-a520-e8863d604566,CV,8.8.8.8,icmp
b94fe3d3-7fa0-4a00-a598-c72de499d5f0,CV,9.9.9.9,icmp
45bd820e-113c-4ff3-9f7d-a0007299bf9f,GH,1.1.1.1,icmp
ee3de8f3-849d-44c3-a725-b9e2dd396a41,GH,8.8.8.8,icmp
df3b201b-c784-4489-a5e8-a7007b9c7603,GH,9.9.9.9,icmp
cf37f7b1-db3c-4a08-9058-5ddd4e2630a6,GM,1.1.1.1,icmp
146c736a-22c6-4b95-ad99-d5044b705cb8,GM,8.8.8.8,icmp
c78ab926-9055-4cd1-8cb8-0de8e85a95c5,GM,9.9.9.9,icmp
28010604-5513-4c42-99e6-b33fec3ed1ac,GN,1.1.1.1,icmp
bcacc0f6-7dce-45bf-841f-67bbbd5dc25a,GN,8.8.8.8,icmp
6f32fbeb-0c93-41af-aecf-45f8c09f40ea,GN,9.9.9.9,icmp
b8dd8d70-a636-4ce9-86f4-ab6197ef35bc,GW,1.1.1.1,icmp
5a7a2c5f-89a2-47fc-9bd3-62dd9a39a4fc,GW,8.8.8.8,icmp
6edb1fbb-b5f5-4ecc-999f-88e1b68d7bbe,GW,9.9.9.9,icmp
c56970f9-8d50-4be5-80b1-76a6fd012c1d,AO,1.1.1.1,icmp
86686559-554d-45ee-80d4-77e9630ec7fa,AO,8.8.8.8,icmp
5b94211a-5274-42ad-aaec-2d28fb7d53a7,AO,9.9.9.9,icmp
e373824d-d320-4ebd-8435-f2b2ab0ae96e,CF,1.1.1.1,icmp
cc4af541-6ce4-4eb3-b2fe-e65d33ebd2b3,CF,8.8.8.8,icmp
82f10e48-8d54-4c45-878a-8247c6d86331,CF,9.9.9.9,icmp
fbf7f989-8230-48ff-9e97-8963b450ab51,CG,1.1.1.1,icmp
817439d7-fe38-4817-8935-1689a635f5c2,CG,8.8.8.8,icmp
d78f58f7-0ddc-4c6d-969c-2392cd89efb5,CG,9.9.9.9,icmp
d57b7e04-f45c-4411-b0ec-69120b29b042,CM,1.1.1.1,icmp
ca711583-8c97-450a-bde4-20645760f82d,CM,8.8.8.8,icmp
7ff955d0-8663-4a90-a91c-75e75271b1b5,CM,9.9.9.9,icmp
5aa230d8-3fbd-485b-9138-df69222a9e29,GA,1.1.1.1,icmp
05297089-681f-42ef-8ace-24882c9eed45,GA,8.8.8.8,icmp
334289ed-93fd-4d7a-897f-fd0638be36eb,GA,9.9.9.9,icmp
280a306a-283a-4656-a32b-859936ae3e38,GQ,1.1.1.1,icmp
c9471b18-4810-46ea-8e50-4d020d3f9a74,GQ,8.8.8.8,icmp
ce811d6c-41a0-42da-aa28-1df0eaaf5768,GQ,9.9.9.9,icmp
64505484-6bbb-4533-87dc-729b3f79df29,TD,1.1.1.1,icmp
ac0f694c-a81e-47d2-86d6-e2e9a3f7974e,TD,8.8.8.8,icmp
6490553c-3c61-4667-b2b3-5a48720e2ded,TD,9.9.9.9,icmp
88c29dc3-8cd0-42df-9be8-813881ebfbcb,BI,1.1.1.1,icmp
72c53ca0-d27e-4522-a0c9-d40c73284a8f,BI,8.8.8.8,icmp
c696d5e1-14f8-41c1-bf00-a64634b45301,BI,9.9.9.9,icmp
5eed2a6d-a6cc-412d-85ea-cac44247411f,DJ,1.1.1.1,icmp
b158c9c2-3948-428a-8bad-7982f20acf7f,DJ,8.8.8.8,icmp
dff49cf2-0ee9-4a8b-9146-ac198feade79,DJ,9.9.9.9,icmp
e7b2a27c-2ab2-4c00-848d-76e61ef31f97,ER,1.1.1.1,icmp
4cd62417-048b-4daa-8fcc-8bc9bac3279f,ER,8.8.8.8,icmp
ffb0e24f-fe78-4085-a050-806591992b0b,ER,9.9.9.9,icmp
20e0f264-869f-4a5f-a911-cea1c8166841,ET,1.1.1.1,icmp
f2682d7e-5447-48cf-8e21-0883df802692,ET,8.8.8.8,icmp
e099b29e-9336-4e60-b2ce-c3a15445a30b,ET,9.9.9.9,icmp
6d81aaab-0190-43cf-8693-ef7062903b4a,KM,1.1.1.1,icmp
a464c1c4-d1b0-4700-8acc-b5fbba937ed3,KM,8.8.8.8,icmp
4ca53867-8c47-411c-b5cf-0eb7cbfcfd8b,KM,9.9.9.9,icmp
a81b4bbd-96e9-481b-8351-1e9000fa77c2,BW,1.1.1.1,icmp
e2eb53d0-d600-42d5-b672-b2c929cea023,BW,8.8.8.8,icmp
a1482629-e21a-4b92-a994-666d04ce88d9,BW,9.9.9.9,icmp
4cf76a5b-bb17-4537-804d-6a217df79211,MA,1.1.1.1,icmp
39ed179b-ce18-4582-9c2c-902b474a4521,MA,8.8.8.8,icmp
41698d8b-b987-4767-a8e8-47aa4c55bc05,MA,9.9.9.9,icmp
c3506aca-f4bd-4479-9cb6-6425a7ebff29,SD,1.1.1.1,icmp
0ba9f919-1103-4f38-a226-d0ccf1e928d1,SD,8.8.8.8,icmp
