testid,cc,server
b441c174-5521-4395-8042-795f6a0ed485,EG,1.1.1.1
13725413-cd61-4c19-86c9-23bd411cbb7b,EG,8.8.8.8
5ebd60d5-a264-477f-a656-1aac9c64bfc4,EG,9.9.9.9
edf97b9f-4721-4edb-8be7-e07477979a59,BJ,1.1.1.1
b8a581b0-8e07-470f-acb3-e4216df7efa8,BJ,8.8.8.8
36d67809-c2e7-47bf-b9f8-d5d0b8a8222d,BJ,9.9.9.9
d058e2fd-6072-4f3f-96c6-90b95ea10f37,CI,1.1.1.1
5a5ed3e8-6eb5-4b37-abe1-ed2f317c84aa,CI,8.8.8.8
a449133b-9612-4c31-a7dd-62c955e0968d,CI,9.9.9.9
896ebe9b-4004-4cc2-82cf-4d4a040228ea,CV,1.1.1.1
a7b8e064-f71f-41a1-8138-62aa27d3ae14,CV,8.8.8.8
6510dad8-8102-431b-a430-bc996563c4cc,CV,9.9.9.9
842040b4-5887-4fa3-8e78-14d1ac36300a,GH,1.1.1.1
3db6f652-376d-48cb-93cf-fdad5f3ab346,GH,8.8.8.8
3eb6c85e-dcc4-413b-bca0-be5098145dbc,GH,9.9.9.9
e65bdce1-3079-448d-92a6-e6fe9600ed92,GM,1.1.1.1
62374a03-65e4-4db2-ad91-6335299581e3,GM,8.8.8.8
869b3a8a-41be-4989-85a7-035f4927416a,GM,9.9.9.9
d6e9e5f8-38e4-4093-ae17-210b818e615f,GN,1.1.1.1
338ee8c1-13bc-4f43-943e-8ca8394d3ca8,GN,8.8.8.8
874550d5-a925-4c41-a233-098f03d42444,GN,9.9.9.9
f0cb8695-3dd7-43f8-be11-f3e8984e38f3,GW,1.1.1.1
9a323c64-81d5-4531-bf77-e471504c9691,GW,8.8.8.8
6edba385-225a-4629-9fc6-87b22dda13b2,GW,9.9.9.9
155af1a0-c64b-4127-a2dc-a122e614af52,AO,1.1.1.1
1ea6866d-c45e-45f1-807f-db1892495380,AO,8.8.8.8
a84b711b-f018-44ff-a168-ed88179f00ec,AO,9.9.9.9
321295fd-e334-45b4-974e-f5fdf0a8cc0c,CF,1.1.1.1
ef76aabc-eca5-47f8-a522-23915ffa72d0,CF,8.8.8.8
25c57a40-b276-458d-864f-d2f55db39dda,CF,9.9.9.9
f1a55dd1-3e97-47aa-b533-a8fcbfbe4fc2,CG,1.1.1.1
fed09e2e-04dc-4fab-a335-8123381a9c9b,CG,8.8.8.8
1b57d3fa-1bf8-4eb7-9981-64adb9d17745,CG,9.9.9.9
0c435b9c-efea-4bd7-9893-93866f68d5d7,CM,1.1.1.1
58a3771c-d8eb-4994-8792-dc2caf6c25dd,CM,8.8.8.8
20e358f4-5cc4-46aa-8830-a27cb3b0b2e4,CM,9.9.9.9
