testid,cc,server,dig_type
53b9b3f7-7d95-4f12-8e75-c9013a76cbaa,KE,,local
9f173256-75ca-47e1-9608-26a5343f73d8,KE,1.1.1.1,remote
8ce680cc-2826-4e3a-a150-9cc05c262896,KE,8.8.8.8,remote
70ef0708-2182-4cdf-bd1c-105ce79c5ea2,KE,9.9.9.9,remote
9d6ddc94-f474-49af-acbd-05216b533db0,KM,,local
5b9ca49c-6924-46d4-99af-48a5544744c7,KM,1.1.1.1,remote
d463664b-3bb0-40cc-b74a-a05ae7dce2f3,KM,8.8.8.8,remote
a56a803e-2e49-4c3f-81f1-e3b6dbe0914f,KM,9.9.9.9,remote
4d3ab63b-de65-4f4a-850f-d277fa44f0ad,MA,,local
208a3568-c223-46a5-a246-b66eefe1d74c,MA,1.1.1.1,remote
2e7ae811-ede7-4b2a-b306-a93f98ab5ab9,MA,8.8.8.8,remote
bdbe30b4-f835-462d-b930-95c1421fabfb,MA,9.9.9.9,remote
27ba7e4b-05ce-4ac8-9c4f-cf8dd6708e9f,MG,,local
8e4c57c2-741f-417f-ade0-2e777618a55f,MG,1.1.1.1,remote
995d9e8b-928a-4d3e-905a-a97b36b4ee17,MG,8.8.8.8,remote
f81629c9-721f-4942-b7c2-b8946f416bbb,MG,9.9.9.9,remote
e643a870-746d-4800-afea-1a69297958e1,MU,,local
cc9a7f39-5715-43e1-bb72-f83c8eeec9d4,MU,1.1.1.1,remote
04d7b89e-8fc2-4092-8aaa-dda6d3221aff,MU,8.8.8.8,remote
d8ffffc6-2e70-4943-991e-3eb3545e380f,MU,9.9.9.9,remote
5a497412-d91e-480f-8ec5-fef4ac110cad,NG,,local
629e3b7b-5ce2-419a-a6dd-331388fec5ee,NG,1.1.1.1,remote
0b0fcf97-5f49-4e16-8ff5-56d7db4e2737,NG,8.8.8.8,remote
5d9cbb36-e2cb-405b-90fd-c9682d3efa90,NG,9.9.9.9,remote
3501fef4-a57f-4b15-abc6-98f7d15f9a26,SL,,local
9e87d164-ed92-493f-a9a3-852fed58341c,SL,1.1.1.1,remote
69960671-b34c-4b0c-b231-c2b51991c841,SL,8.8.8.8,remote
10d5b818-ee63-4f74-98de-ab88b9fb05de,SL,9.9.9.9,remote
95ed60bb-22ea-4698-8d62-c927418c0c7f,SN,,local
b8567b62-8d00-4672-9fef-854cc7095bbc,SN,1.1.1.1,remote
fe6d1a40-21ae-4cd5-b27e-865ef9dd8e88,SN,8.8.8.8,remote
e44b2e04-cb3a-4433-a5db-bbd1bbfea5f3,SN,9.9.9.9,remote
6e6385d5-de77-4059-b3b7-d73acbce2af6,TD,,local
b126d06d-4e9c-4fca-becb-262ab9e5fbd7,TD,1.1.1.1,remote
738e57f2-c436-42c7-b64f-3de6ba4a8aeb,TD,8.8.8.8,remote
1c526ee1-d30a-41a9-8f4d-b450203c169c,TD,9.9.9.9,remote
fc300a62-5839-471c-b518-d8219f77355c,TG,,local
e06cefde-406e-4674-8f44-7133d299e8d2,TG,1.1.1.1,remote
3a891d7d-5c28-4ffa-b2eb-3bbf291d3f6d,TG,8.8.8.8,remote
a707f4ae-2944-459e-8bcd-e96582a48f5e,TG,9.9.9.9,remote
c5b9c664-6733-4ce4-9b7e-a66fb37fc425,TN,,local
001036b2-7ad5-4945-8965-dc39d6883d3f,TN,1.1.1.1,remote
fca84224-f3d1-46d7-a95e-f3d8a82334c9,TN,8.8.8.8,remote
cb2d2c14-ad64-4ac8-b318-822e8e6928e4,TN,9.9.9.9,remote
e342cc77-90bc-44b7-bfa7-97b442a95edf,ZA,,local
80dda57d-1b50-461e-b641-a094d2a551a1,ZA,1.1.1.1,remote
5a115203-60f5-4f8c-9a62-ba1db60b8a5e,ZA,8.8.8.8,remote
1525fbba-a52f-487c-9e8f-a863fd6b7c58,ZA,9.9.9.9,remote
0fe979a9-3c0b-4238-bf8e-82749029d64b,ZW,,local
1f8584f2-5ee4-4a39-a44f-248c023dbd99,ZW,1.1.1.1,remote
cc9bbc62-f4b8-44b7-aba3-e8fa01018012,ZW,8.8.8.8,remote
b6bedd83-d903-4a73-a43c-7e239587c542,ZW,9.9.9.9,remote
