testid,cc,server,dig_type
9da3c96e-0f26-484c-aee7-7bf211dbd24f,AO,,local
14aabc88-438e-413a-9220-a5689cdf5ed0,AO,1.1.1.1,remote
5df8496d-0b0c-42b5-a605-2f9147b95cc9,AO,8.8.8.8,remote
00127b84-a433-4f28-a7c4-5b365fd0c089,AO,9.9.9.9,remote
e9f252b9-3440-4d85-b3a6-9cdae3f06010,BW,,local
711ce907-8626-456b-b555-df12d3d3b5b3,BW,1.1.1.1,remote
357d95c4-aa82-4dda-b744-d58cb605fb88,BW,8.8.8.8,remote
c18834d6-7c7b-4c1b-a01e-5be8a667c586,BW,9.9.9.9,remote
221391ba-acf0-4870-855e-324424692549,CD,,local
fe50e319-ff82-4861-a98c-3e92081cd174,CD,1.1.1.1,remote
ef6d779e-c632-4fac-bcfd-7e8b2aee4f1a,CD,8.8.8.8,remote
3f511ba6-3782-48f9-8090-7e672162c14b,CD,9.9.9.9,remote
2c14709e-c0f9-48e1-b31c-903c4722105d,CI,,local
25c6cb31-13b7-4803-959e-8a9847df2459,CI,1.1.1.1,remote
8c360954-23f0-4f73-bdb5-ebb996083a4f,CI,8.8.8.8,remote
443ae915-018d-4cb9-9657-41b7f1b38093,CI,9.9.9.9,remote
71c6076f-588e-4313-9abb-4ce90721502e,CM,,local
8c34476c-16be-4d3b-934b-c3a49af9f585,CM,1.1.1.1,remote
21fe6953-9f54-40a3-9ceb-56c0c9b9909d,CM,8.8.8.8,remote
afbb4a72-2f4c-476d-be67-e72912ca65bf,CM,9.9.9.9,remote
5d4a7d8f-073d-431c-8246-4b956e54f69a,DZ,,local
220dd28d-ddce-4e80-ad9d-a9915f055a25,DZ,1.1.1.1,remote
7fd4f735-dd93-426e-be68-bb6f0bcc29a9,DZ,8.8.8.8,remote
4d74401d-b176-4c08-8d24-aeff5892ad04,DZ,9.9.9.9,remote
ac7eca6f-913b-4498-b53d-cd6e224709cd,EG,,local
bf2118ef-4120-4e77-bf2e-be9cd0dd91ea,EG,1.1.1.1,remote
01ffe145-a8e9-40e7-accf-d361bb2f3bb0,EG,8.8.8.8,remote
bee3dc4f-0832-45a8-a6ab-b38f31a3cdb6,EG,9.9.9.9,remote
c05cab8f-6209-4c94-862f-9e8ef925017a,GM,,local
f619f6d7-9d3c-4ec0-8241-616a4638d186,GM,1.1.1.1,remote
cc296ee6-2478-40ba-8808-db50fad0b492,GM,8.8.8.8,remote
4e485e63-f1a5-4952-bc6c-bc3dc010db58,GM,9.9.9.9,remote
bc445c29-fc28-40ed-bbb5-1fe548608369,GQ,,local
70405a8b-7fb7-4d71-9879-9c577990cc7d,GQ,1.1.1.1,remote
f148eb52-be15-478e-b8ea-5f5a77320654,GQ,8.8.8.8,remote
a9dcbcbf-8f85-4afd-98b3-98d241932806,GQ,9.9.9.9,remote
