testid,cc,server,ping_type
33b2acf9-7581-4f33-aa46-d6d8c5fea247,EG,1.1.1.1,icmp
020f190a-5a32-444c-b988-21f9579760d4,EG,8.8.8.8,icmp
fd03583a-6930-42f4-bbb8-28db3720e63c,EG,9.9.9.9,icmp
c586de46-f034-48fa-ae0a-f2c964276a69,BJ,1.1.1.1,icmp
e975b8a7-7fb5-40c9-be29-38a8981b4566,BJ,8.8.8.8,icmp
c3bf85a5-94f7-4893-b1a6-ae3f480f88f3,BJ,9.9.9.9,icmp
98faba98-7fdb-4942-8c32-d613de41b9cf,CI,1.1.1.1,icmp
16afc0ba-56c0-4ac4-a153-250f60c7ffe4,CI,8.8.8.8,icmp
16e7f7e5-3794-4c6e-8ad2-5639376a6444,CI,9.9.9.9,icmp
afb1768f-be40-4707-8491-0793284e9fe5,CV,1.1.1.1,icmp
9e3da15e-a605-4e13-a648-2ff6063c77d8,CV,8.8.8.8,icmp
89cfccff-ed81-41d8-bbfb-73511b3a5556,CV,9.9.9.9,icmp
ead33a47-e74b-4966-94cb-9f353be613ef,GH,1.1.1.1,icmp
4ca6e5af-1015-488d-a4ac-abc9673e4886,GH,8.8.8.8,icmp
8c347c67-8bbf-469d-aed4-02bbcf86a9ed,GH,9.9.9.9,icmp
1645045b-6eb8-423d-9e65-a56cb6c69e1c,GM,1.1.1.1,icmp
fc7996df-35ea-4005-819f-14fcd4e9d8a3,GM,8.8.8.8,icmp
099f2c34-503c-450e-bb28-204e1a0298e8,GM,9.9.9.9,icmp
73cdfb82-ee1a-4018-8d2b-174f9993520a,GN,1.1.1.1,icmp
eb072d05-5e14-4e4a-86f8-3e4fd155c688,GN,8.8.8.8,icmp
3444e3d4-1a02-4c70-9392-f407b8ddc5c6,GN,9.9.9.9,icmp
3398b6ac-3afe-477f-8a5d-0998d5fa3b36,GW,1.1.1.1,icmp
17190a56-92fa-40e0-8387-ea229039917a,GW,8.8.8.8,icmp
725f3c2d-585d-4930-9c8f-ccedbe64f1d9,GW,9.9.9.9,icmp
6e879405-3e70-4dd5-9d7e-d3442c9befc4,AO,1.1.1.1,icmp
e39311fe-9fd6-406d-b721-51123bd5c515,AO,8.8.8.8,icmp
0ed80150-ecae-4b33-aa2f-95b0cbd6e472,AO,9.9.9.9,icmp
f16e9e84-ef35-49bf-bfcd-fc28be8eabbd,CF,1.1.1.1,icmp
3137a18b-bdfc-4a77-854a-00317ca9399d,CF,8.8.8.8,icmp
b2ee7ebc-33d4-4b71-8b19-9c262ef5a97b,CF,9.9.9.9,icmp
acf90fea-da09-435d-b1b8-0f6cbb10bbdc,CG,1.1.1.1,icmp
