ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
37317|WIFI|ZA|41.78.220.10|102.128.96.222|Access Global Fibre|1ef15ccb-de9c-489e-be37-cb492fe8a121|/Date(1561037469030+0000)/|8.8.8.8|9|16|13|12
327984|Unknown|ZA||102.176.197.122|Fibrestream PTY LTD|b8dc64bb-c6a0-435f-9ab9-4a29b593c9fd|/Date(1561037469480+0000)/|8.8.8.8|3|3|3|3
11845|Unknown|ZA||197.245.204.197|Vox-Telecom|63655cb3-877b-46db-8b80-ff3b5cd464e3|/Date(1561037469779+0000)/|8.8.8.8|4|2|2|2
36994|fiber|ZA||105.246.50.38|Vodacom Business|022ced5e-a16c-4f2e-b15f-ac90bf2ffeb5|/Date(1561037470079+0000)/|8.8.8.8|33|45|36|38
10474|adsl|ZA||197.82.218.68|MWEB|41e06067-e06d-4256-a5b2-91592122b71f|/Date(1561037470379+0000)/|8.8.8.8|27|25|25|25
5713|Unknown|ZA||165.165.149.144|Telkom Internet|6027e61f-8c6e-4222-8156-d845edf9f671|/Date(1561037470678+0000)/|8.8.8.8|37|34|44|38
37611|Wireless80211|ZA|169.1.2.13|169.0.57.227|Afrihost|6fc9f09f-a830-40c0-8e8f-bc8bf20a000b|/Date(1561037473286+0000)/|8.8.8.8|127|112|149|129
37596|Wireless80211,Ethernet|ZA|169.159.149.60|169.159.160.114|Hero Telecoms|170bdfe6-380e-490d-8a04-81425abe5553|/Date(1561037473390+0000)/|8.8.8.8|9|11|5|8
37457|Wireless80211|ZA|105.187.253.251|197.229.1.59|Telkom Internet|b2ce9a9f-05a3-4f6c-be29-2fbb5ccd62fd|/Date(1561037473797+0000)/|8.8.8.8|76|87|52|71
11845|Unknown|ZA||197.245.204.197|Vox-Telecom|63655cb3-877b-46db-8b80-ff3b5cd464e3|/Date(1561037471081+0000)/|9.9.9.9|1|1|1|1
37680|fiber|ZA||102.132.171.36|Cool-ideas|73cd5e83-343c-47a4-9172-82bfa040cd41|/Date(1561037471379+0000)/|9.9.9.9|11|11|11|11
327984|Unknown|ZA||102.176.197.122|Fibrestream PTY LTD|b8dc64bb-c6a0-435f-9ab9-4a29b593c9fd|/Date(1561037471679+0000)/|9.9.9.9|3|3|3|3
327901|Unknown|ZA||102.141.131.183|Level-7 Internet PTY LTD|37759804-87cf-40a1-b535-d623af412e4c|/Date(1561037471812+0000)/|9.9.9.9|33|34|29|32
5713|Unknown|ZA||165.165.149.144|Telkom Internet|6027e61f-8c6e-4222-8156-d845edf9f671|/Date(1561037471949+0000)/|9.9.9.9|208|217|222|215
10474|WIFI|ZA|196.28.182.24|197.88.120.91|MWEB|885ea80a-fee3-4842-9d04-5854d683659a|/Date(1561037474506+0000)/|9.9.9.9|101|45|37|61
37417|WIFI|ZA|41.79.193.253|196.251.44.185|SONIC-Wireless|38f1c87a-c959-4763-86e1-164c95f1d886|/Date(1561037474853+0000)/|9.9.9.9|132|104|23|86
37680|fiber|ZA||102.132.242.109|Cool-ideas|92fd4d47-d649-4eb8-abeb-cc5a1a85059e|/Date(1561037475166+0000)/|9.9.9.9|3|2|1|2
22355|fiber|ZA||41.85.9.253|FROGFOOT|fa1f8f8d-ef1e-47f5-9c74-df4a03ae2331|/Date(1561037475292+0000)/|9.9.9.9|3|3|3|3
37315|Unknown|ZA||197.234.144.136|CipherWave|71224795-00ba-4f90-a7d8-ba4b0192c9c0|/Date(1561037475579+0000)/|9.9.9.9|2|2|2|2
36947|WIFI|DZ|41.110.30.2|105.101.15.148|Algerie Telecom|1077430f-f0a0-4f31-a342-0f2d8b0e5f6d|/Date(1561037471978+0000)/|1.1.1.1|151|149|155|151
36947|WIFI|DZ|41.110.30.2|105.101.247.74|Algerie Telecom|8d80e31e-6eb4-49f5-bc6b-78eefd2d3482|/Date(1561037472472+0000)/|1.1.1.1|153|184|281|206
36947|Ethernet|DZ|41.110.30.2|105.105.75.88|Algerie Telecom|a4583abc-008c-4b45-930a-33c2799ca9db|/Date(1561037472621+0000)/|1.1.1.1|73|110|71|84
36947|WIFI|DZ|41.110.32.2|105.101.141.62|Algerie Telecom|dae74ff8-a951-45a3-9353-75f448b29e70|/Date(1561037472673+0000)/|1.1.1.1|525|188|190|301
36947|Wireless80211|DZ||105.110.122.18|Algerie Telecom|b75a644c-dfed-4424-abb0-34306dbc437b|/Date(1561037472784+0000)/|1.1.1.1|95||93|94
36947|Ethernet|DZ|41.110.32.2|41.108.152.212|Algerie Telecom|0d108c7f-654b-4c2f-9713-4b224ee456f6|/Date(1561037475155+0000)/|1.1.1.1|135|103|131|123
36947|WIFI|DZ|41.110.32.2|41.96.93.127|Algerie Telecom|1f35f1d3-e9c4-4710-9dcb-76c97883f04b|/Date(1561037476475+0000)/|1.1.1.1|76|75|82|77
36947|Ethernet|DZ|41.110.32.2|197.200.73.114|Algerie Telecom|054efe3f-585b-4856-9977-4024ba427244|/Date(1561037476646+0000)/|1.1.1.1|48|46|46|46
36947|Wireless80211|DZ|192.221.154.136|105.101.182.12|Algerie Telecom|f0dfb4f9-9fbe-4223-ab37-e81100a99f35|/Date(1561037477643+0000)/|1.1.1.1|191|166|152|169
36947|Unknown|DZ||105.101.34.89|Algerie Telecom|d88b829c-8a22-401a-b4c5-6176433a7bcc|/Date(1561037477683+0000)/|1.1.1.1|124|153|180|152
36947|Ethernet|DZ|41.110.32.2|197.200.73.114|Algerie Telecom|054efe3f-585b-4856-9977-4024ba427244|/Date(1561037469684+0000)/|8.8.8.8|36|36|36|36
36947|Wireless80211|DZ|192.221.154.136|105.101.182.12|Algerie Telecom|f0dfb4f9-9fbe-4223-ab37-e81100a99f35|/Date(1561037470447+0000)/|8.8.8.8|69|133|237|146
36947|Ethernet|DZ|83.231.151.143|41.101.200.104|Algerie Telecom|fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4|/Date(1561037470693+0000)/|8.8.8.8|107|106|107|106
36947|Wireless80211,Ethernet|DZ|41.110.32.2|41.107.222.120|Algerie Telecom|6a421a25-5391-4770-9a3b-260f30a3eaea|/Date(1561037471794+0000)/|8.8.8.8|104|78|63|81
36947|Unknown|DZ||105.99.33.47|Algerie Telecom|f4dc4490-3f6d-44aa-bcde-e990c5d09d32|/Date(1561037472479+0000)/|8.8.8.8|44|45|44|44
36947|Unknown|DZ||105.101.34.89|Algerie Telecom|d88b829c-8a22-401a-b4c5-6176433a7bcc|/Date(1561037472779+0000)/|8.8.8.8|37|37|34|36
36947|WIFI|DZ|41.110.32.2|41.96.93.127|Algerie Telecom|1f35f1d3-e9c4-4710-9dcb-76c97883f04b|/Date(1561037473089+0000)/|8.8.8.8|55|59|62|58
36947|WIFI|DZ|41.110.30.2|105.101.15.148|Algerie Telecom|1077430f-f0a0-4f31-a342-0f2d8b0e5f6d|/Date(1561037474878+0000)/|8.8.8.8|40|37|162|79
36947|Ethernet|DZ|41.110.30.2|105.105.75.88|Algerie Telecom|a4583abc-008c-4b45-930a-33c2799ca9db|/Date(1561037475396+0000)/|8.8.8.8|56|56|56|56
36947|Ethernet|DZ|41.110.32.2|41.108.152.212|Algerie Telecom|0d108c7f-654b-4c2f-9713-4b224ee456f6|/Date(1561037478406+0000)/|8.8.8.8|37|35|37|36
36947|Ethernet|DZ|41.110.32.2|41.108.152.212|Algerie Telecom|0d108c7f-654b-4c2f-9713-4b224ee456f6|/Date(1561037471806+0000)/|9.9.9.9|217|216||216
36947|WIFI|DZ|41.110.32.2|41.96.93.127|Algerie Telecom|1f35f1d3-e9c4-4710-9dcb-76c97883f04b|/Date(1561037473032+0000)/|9.9.9.9|88|87|90|88
36947|Ethernet|DZ|41.110.32.2|197.200.73.114|Algerie Telecom|054efe3f-585b-4856-9977-4024ba427244|/Date(1561037473088+0000)/|9.9.9.9|166|165|166|165
36947|Wireless80211|DZ|192.221.154.136|105.101.182.12|Algerie Telecom|f0dfb4f9-9fbe-4223-ab37-e81100a99f35|/Date(1561037474038+0000)/|9.9.9.9|229|199|158|195
36947|Ethernet|DZ|83.231.151.143|41.101.200.104|Algerie Telecom|fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4|/Date(1561037475366+0000)/|9.9.9.9|193||220|206
36947|WIFI|DZ|41.110.30.2|105.101.15.148|Algerie Telecom|1077430f-f0a0-4f31-a342-0f2d8b0e5f6d|/Date(1561037475779+0000)/|9.9.9.9|156|299|209|221
36947|Wireless80211|DZ||105.110.122.18|Algerie Telecom|b75a644c-dfed-4424-abb0-34306dbc437b|/Date(1561037476546+0000)/|9.9.9.9|129|128|206|154
36947|Wireless80211,Ethernet|DZ|41.110.32.2|41.107.222.120|Algerie Telecom|6a421a25-5391-4770-9a3b-260f30a3eaea|/Date(1561037476943+0000)/|9.9.9.9||233|243|238
36947|Unknown|DZ||105.99.33.47|Algerie Telecom|f4dc4490-3f6d-44aa-bcde-e990c5d09d32|/Date(1561037476979+0000)/|9.9.9.9|74|74|74|74
36947|WIFI|DZ|41.110.32.2|105.101.141.62|Algerie Telecom|dae74ff8-a951-45a3-9353-75f448b29e70|/Date(1561037477601+0000)/|9.9.9.9|151|204|204|186
29286|mobile|CD||95.210.144.2|Skylogic S.p.A.|3d9defa7-84f0-40a6-9156-f55ca7687b7d|/Date(1561037479178+0000)/|1.1.1.1|947|767|717|810
37463|Unknown|CD||169.255.120.126|MTN Congo|1560108c-2025-4eb0-8340-b7383d88edcb|/Date(1561037478445+0000)/|8.8.8.8|150|161|151|154
29286|mobile|CD||95.210.144.2|Skylogic S.p.A.|3d9defa7-84f0-40a6-9156-f55ca7687b7d|/Date(1561037479479+0000)/|8.8.8.8|1317|707|667|897
37463|Unknown|CD||169.255.120.126|MTN Congo|1560108c-2025-4eb0-8340-b7383d88edcb|/Date(1561037480845+0000)/|9.9.9.9|155|158|155|156
29286|mobile|CD||95.210.144.2|Skylogic S.p.A.|3d9defa7-84f0-40a6-9156-f55ca7687b7d|/Date(1561037481978+0000)/|9.9.9.9|682|741|682|701
37204|Wireless80211|ZW|77.246.57.130|41.220.26.170|TELONE|792c3306-a1a6-4bd8-86bb-357a09981670|/Date(1561037499278+0000)/|1.1.1.1|||54|54
37204|Wireless80211|ZW|77.246.57.130|41.220.26.170|TELONE|792c3306-a1a6-4bd8-86bb-357a09981670|/Date(1561037497684+0000)/|8.8.8.8|290|53|49|130
37204|Wireless80211|ZW|77.246.57.130|41.220.26.170|TELONE|792c3306-a1a6-4bd8-86bb-357a09981670|/Date(1561037505478+0000)/|9.9.9.9||56||56
