testid,cc,server
f8d66cf1-f2c5-4618-8238-a7e115a5aa5e,LR,8.8.8.8
251858a7-acff-41fc-adee-1d7a6fbe1f37,LR,9.9.9.9
7c1075db-ba6a-41ce-bdfc-6f970f38cb9a,ML,1.1.1.1
6a1cf870-f7a1-45bf-8779-7d12d9ea7644,ML,8.8.8.8
ceeaa66c-3309-428c-a4bf-1517febf672f,ML,9.9.9.9
6cfb18ae-0319-4171-9b5c-b0db4d745467,MR,1.1.1.1
2551dda3-d600-48db-9949-832a6bfccfa9,MR,8.8.8.8
b11624b3-e963-4cc2-a3ad-684dd83f6fab,MR,9.9.9.9
056b9814-378e-45c7-8c06-40fcb88e034d,NE,1.1.1.1
ee70d1fa-1555-4454-b5a2-40d52aac783f,NE,8.8.8.8
55cc7c11-226b-48d9-b2ec-d324e6f5f66e,NE,9.9.9.9
1869e5f9-de1b-4fd6-a6db-160cc789e254,NG,1.1.1.1
c5c97409-11b0-426d-95dc-8cd2d8877ca7,NG,8.8.8.8
cd78be39-b90d-47a2-87da-5027d3a5fbb4,NG,9.9.9.9
b8601050-644d-41f8-ba28-76417a8b14c5,SL,1.1.1.1
cc937d5a-d2f1-4075-a720-55e0f6ef6cb3,SL,8.8.8.8
34bf6770-d5d7-454c-b09d-b4448c0ed5a4,SL,9.9.9.9
3e2e50b3-d346-491d-af5b-fac910024497,SN,1.1.1.1
bf14be74-9583-46c1-865b-42b697f257e2,SN,8.8.8.8
6fe01a41-447a-49f8-ba06-a8acfe69327c,SN,9.9.9.9
5b670ecb-1343-47b1-bf21-3765ff3b00ce,TG,1.1.1.1
15cfd50a-beae-422f-a555-d53f0c553c5d,TG,8.8.8.8
629d1378-c6c6-4680-8326-d469bf4ff213,TG,9.9.9.9
e05d0e66-ab98-4e4e-b0cc-97b32cfffbb9,ST,1.1.1.1
b14de2d5-53f6-4fb3-80c7-54d133036a5e,ST,8.8.8.8
bc7dc94d-b738-49cf-a2b4-6471a8f16c76,ST,9.9.9.9
391dfd79-c68f-4c63-b7d7-e4c461ff60dd,KE,1.1.1.1
1248419d-4aa0-4fcd-8aae-22c645deed3f,KE,8.8.8.8
c2d2c60c-ab23-4acc-b6a8-1620aa0b0556,KE,9.9.9.9
372e759d-0d97-42d9-b434-09252d1df45e,MG,1.1.1.1
ee001a52-e5f3-4c15-8004-d4b99c86d712,MG,8.8.8.8
6b6c24cb-7454-46f2-82a1-02ab49dbef0f,MG,9.9.9.9
6892b2c8-9f27-41be-b896-2208922d7383,MU,1.1.1.1
44e6edbe-9564-449f-81c9-885d12a402fe,MU,8.8.8.8
71f509a1-1b2e-4bd0-86e0-319e17b4ec1c,MU,9.9.9.9
145a887d-2b63-4bc0-a55b-7db3a9f0597a,MW,1.1.1.1
54a5c495-d379-4fd3-9636-16225ce77a41,MW,8.8.8.8
37121e92-9f79-44bd-a50d-4fbbce70cda7,MW,9.9.9.9
cc59d1d9-2229-4b0f-95ef-3294e5aa59c5,MZ,1.1.1.1
82e2048d-2a13-4399-a0d7-2769579c66c6,MZ,8.8.8.8
ed2374fe-c7b2-4981-9750-4975931ff2b1,MZ,9.9.9.9
046bf76f-dc61-432e-8eed-edf5a190f2ea,RE,1.1.1.1
94c14fe6-28ad-4823-8ec9-d5333796243f,RE,8.8.8.8
a9e6762e-a5cb-46ae-8592-40d025ae8dc1,RE,9.9.9.9
c13bca00-432f-4011-b560-b5642317c904,RW,1.1.1.1
a86f689d-ddd0-4ce4-bca3-f72b98acf58d,RW,8.8.8.8
0d1c0764-8542-4f14-89e9-172ab8755d6f,RW,9.9.9.9
e4039738-1bbe-4fea-8256-f38fe85eb1c3,SC,1.1.1.1
