testid,cc,server
2e705eb9-02bc-4e4b-b9dc-65733a0f29fa,EG,1.1.1.1
3a91ec1b-ed6b-4b19-90a7-38939aa4d58a,EG,8.8.8.8
c36b69a7-49e9-4a22-917b-a9eff71b4bac,EG,9.9.9.9
26931e3e-9f6e-4325-aece-544b535eb1cc,BJ,1.1.1.1
3bac45ec-9979-4a0a-aa1a-935c8a0121a8,BJ,8.8.8.8
51967600-50ca-4cd1-a728-aa0e6345fb13,BJ,9.9.9.9
1d36b4c3-2815-4bde-978e-d442d8d21123,CI,1.1.1.1
ca3fc2d8-61b4-4c1d-b89b-c0795289abaa,CI,8.8.8.8
27b577c9-7b13-417d-b135-c874ff7aaa3f,CI,9.9.9.9
9deb8be8-391b-4461-8d37-f4a07bad537d,CV,1.1.1.1
fafd5627-49fa-4e51-ae20-b50e768c84a5,CV,8.8.8.8
2398bbf9-d6c5-412d-a9ea-df5e6829138e,CV,9.9.9.9
89b090c4-11af-4c57-905d-dd2ded010ec6,GH,1.1.1.1
2239d538-e45f-426d-b8da-6a57b09bec3c,GH,8.8.8.8
8c6fd90a-006e-40e1-bee8-067fcbb5e8c3,GH,9.9.9.9
59b20cc4-496c-4ca6-97c7-012a6d03282a,GM,1.1.1.1
296f05db-9bb7-4949-96b0-81a504d6b01b,GM,8.8.8.8
019c06d5-1511-477a-bb61-2b7878ef3da9,GM,9.9.9.9
8331f5e8-b998-400d-a883-61a05076d561,GN,1.1.1.1
f1f3f482-d53c-4821-9439-adb99e3d5bbd,GN,8.8.8.8
e42dbd9a-0e49-4d5c-97ba-3b0a44ec58ff,GN,9.9.9.9
28d91702-bd76-4b7d-8515-6aa82af0bdbc,GW,1.1.1.1
f262817c-2888-4377-93ba-68dd48e4ba28,GW,8.8.8.8
404e869c-daa9-4cc9-ac51-690134eec73f,GW,9.9.9.9
7aab9429-86b5-4655-ac0c-2fff65f8dea8,AO,1.1.1.1
7c0ce305-f910-43d8-9a12-f247f8b43ec2,AO,8.8.8.8
417f7ec9-7470-4024-8050-8fbb10fd814d,AO,9.9.9.9
9d02f51d-a248-4af3-bf46-f04765979db5,CF,1.1.1.1
f27afa9a-f18c-4b18-9867-e0e83fcb9264,CF,8.8.8.8
eecdcdf7-d733-4929-83ac-7cb2ceea658c,CF,9.9.9.9
008316d5-3bb7-4e17-929e-72b7ece63748,CG,1.1.1.1
9a51da21-06f2-485e-a8c7-c66e0f8b3614,CG,8.8.8.8
753fb592-48ef-46de-9ebd-75e5741bfd79,CG,9.9.9.9
d2654d40-a2f6-459e-b6db-5998f8588dc3,CM,1.1.1.1
27c9561a-3488-4cea-ad88-f2786f4fc5e3,CM,8.8.8.8
843dde01-4f0a-44a7-b6a0-c382219ea902,CM,9.9.9.9
153e30bc-6ef2-4921-85c1-5c270f934ff3,GA,1.1.1.1
e0d513cd-b8e8-426e-9266-b6128ebb1b51,GA,8.8.8.8
a08833e9-5ccc-4893-a4cc-3914254637b9,GA,9.9.9.9
20bc3cd7-fb72-4bec-b3cb-e707c4e9d890,GQ,1.1.1.1
53ed0386-35fd-4f4e-9333-f00c5fa271e6,GQ,8.8.8.8
02214ce0-c5ac-46cd-9637-4e2b92d5f1f0,GQ,9.9.9.9
e4836a7d-366b-4e49-8639-a94c2c73587c,TD,1.1.1.1
0736173b-53a6-415c-8bdd-2f0b900f1e7d,TD,8.8.8.8
2341405c-6131-4328-abca-bca4648bd095,TD,9.9.9.9
95122d2b-32f3-413c-9c2a-e51d966108a9,BI,1.1.1.1
7fb32b09-7158-49a0-a63a-bcbe52d1bca4,BI,8.8.8.8
5576988c-c06c-402f-945e-71291dfcdf31,BI,9.9.9.9
661956c0-67e8-44fd-a9f2-0c25454a4263,DJ,1.1.1.1
198f86b4-23cd-454f-b11d-f2cd9b0cc770,DJ,8.8.8.8
c94a2939-cc90-45c6-80a8-cca9ec676068,DJ,9.9.9.9
13b32a9f-39f2-45dd-bdfc-aa2d395a9904,ER,1.1.1.1
0c0f980c-1d1d-433a-b295-97821225664e,ER,8.8.8.8
bd74c8eb-b419-4329-979c-43b052f61cd8,ER,9.9.9.9
4b0d4da9-40ed-4bc8-ac4d-87cce462c6c6,ET,1.1.1.1
06591502-ceaa-432d-9e22-a30aea7b88f9,ET,8.8.8.8
530b68aa-09db-47b4-8db4-f4dc6adce136,ET,9.9.9.9
57436c6e-a615-4202-b426-8c55acb4c6ae,KM,1.1.1.1
008f676e-867b-47b9-ae8a-9265f1fb7830,KM,8.8.8.8
6bbc23fd-04af-42cd-bb31-6418c29ea600,KM,9.9.9.9
4edefe0b-f0c8-4c2d-80f8-df05af685e7f,BW,1.1.1.1
bdf337a3-244f-4c53-b818-bbd20ec5a9c7,BW,8.8.8.8
f4d538a4-dd38-43bb-b7a8-f40ec47ddc11,BW,9.9.9.9
5092ba96-d471-4fcd-ad85-6e1d42a523c6,MA,1.1.1.1
17196da0-5cb9-4837-b6b1-e91386db6dbb,MA,8.8.8.8
03475e43-f616-49c4-a239-df14c5d79468,MA,9.9.9.9
ad08c124-a0d3-47fc-aeee-f38f10be45e7,SD,1.1.1.1
0f42dc53-8d64-4bca-aeb7-5c91010ece66,SD,8.8.8.8
0a5009df-ff1e-4c1f-99b7-b336aa131322,SD,9.9.9.9
9f7ce040-eccc-4908-a31f-50d905fea5da,TN,1.1.1.1
71eaeb5d-fe18-4ed2-a698-9a3a3bddf64c,TN,8.8.8.8
689958db-6488-4af4-9fbc-6c8a9d740e25,TN,9.9.9.9
68f3d33f-dd86-4ca3-822d-e3c97dc373f9,LR,1.1.1.1
721a7348-a333-4f80-a4ff-5235b7cf3ce1,LR,8.8.8.8
04155cc4-a5db-4523-bcf6-a0a35917d7ff,LR,9.9.9.9
fa48568e-25b0-4ba5-8c6b-a3088a31b98b,ML,1.1.1.1
6fcbe4bb-89f0-438a-b9c6-5b6e017e0e01,ML,8.8.8.8
fc0bbed7-c3fa-41a4-bd1b-791416cc4b72,ML,9.9.9.9
b69cf69e-0dfa-45d8-baa0-7873be33dd5d,MR,1.1.1.1
aaa48cd7-c069-432c-8e9e-73a71bff8380,MR,8.8.8.8
7ff6fb18-a49d-4ec7-9af5-394a3850c9f6,MR,9.9.9.9
c931efc2-71b0-4f54-906f-6d4424f7b706,NE,1.1.1.1
c01511b8-83b2-42d1-8a13-95a37553b3be,NE,8.8.8.8
b67354ea-4844-446d-99f1-af1827524fea,NE,9.9.9.9
3ca3505c-b554-4a76-8456-1bb476050e4d,NG,1.1.1.1
60f5bf2e-d8ea-4608-954f-61ce94996fdf,NG,8.8.8.8
0d46189c-ef4f-4c64-a16c-ff2907f8e6d3,NG,9.9.9.9
166b4643-2683-4940-95aa-46947951cda0,SL,1.1.1.1
bafab35d-a0d4-44cc-9516-d2b860ceb652,SL,8.8.8.8
9feb4f37-9197-4a33-b960-01931a1824c8,SL,9.9.9.9
2b48c87a-a785-460f-b161-d9ab8530952f,SN,1.1.1.1
152c94a9-3884-4e69-994d-3a85b2ee20c8,SN,8.8.8.8
ef00d48a-cefe-4fce-b79c-092bc29e9175,SN,9.9.9.9
0269e16c-9189-4cd3-8467-6d4c25bf5fe1,TG,1.1.1.1
b975abd9-bc73-45be-b894-a15b95a02f83,TG,8.8.8.8
cbb9f5d1-7435-4a3e-a1a0-ac83dc9e37ee,TG,9.9.9.9
58c3e03b-18c8-421a-920b-fbebe1aef5b3,ST,1.1.1.1
904e2713-fc26-46f3-acd7-9e73fd616dfb,ST,8.8.8.8
09302dff-f780-493f-86b8-9481bac5cb52,ST,9.9.9.9
c7e22175-edd3-4d51-84d1-bde1c829650d,KE,1.1.1.1
274bae38-3b02-43cc-a5c5-a23ba9447aa8,KE,8.8.8.8
38456fe5-415d-4f9e-b657-a4d84d41795f,KE,9.9.9.9
1ac23fcf-9d9b-4e2b-bac0-264bc446c39a,MG,1.1.1.1
d925147d-af63-4812-a6e9-8e8066335466,MG,8.8.8.8
186df3e0-a148-4056-900a-8f70419d9cbd,MG,9.9.9.9
20157c31-19ad-499b-a67a-f0fe43c71254,MU,1.1.1.1
3089658b-f131-4ead-9717-81739015bb17,MU,8.8.8.8
80bd9517-4d8e-4d55-aaae-54028ab7e35b,MU,9.9.9.9
c8cf0c3c-eb5b-495b-8ba9-ec694215451f,MW,1.1.1.1
efd49bf3-9150-4168-9b1e-2215be909152,MW,8.8.8.8
30f45394-7121-4f15-b1eb-3900b2a3dd6b,MW,9.9.9.9
107219ec-1195-4c9c-b301-f2dc4844c4a3,MZ,1.1.1.1
acc7856d-796e-46c5-9762-e7f7806942c0,MZ,8.8.8.8
2b97dfeb-e689-4e9f-ac33-0b352e0d258a,MZ,9.9.9.9
f3096d48-658a-412b-98d1-434a0b5b61a0,RE,1.1.1.1
142a8da3-95dc-47e8-b3ef-593a4938cda9,RE,8.8.8.8
ae5c4cba-4179-484a-a395-bfee82629a4d,RE,9.9.9.9
f4b6175f-5ef2-4140-8238-74f16dc7f2f0,RW,1.1.1.1
cdf64d98-a57b-4946-a457-a0a2e756bb4f,RW,8.8.8.8
44265de4-ba12-47fe-8866-1ad300c867d4,RW,9.9.9.9
1eae9026-22da-4393-982c-2916c7c923ca,SC,1.1.1.1
cc966050-ac54-47bf-9659-921d94aef5d7,SC,8.8.8.8
38591d5d-97a5-4ed4-847e-4d509b56e94e,SC,9.9.9.9
27025120-f064-4101-9504-f27e9fde3deb,SO,1.1.1.1
5612e64c-20f3-4ddd-ac0d-012b7f7ad8f6,SO,8.8.8.8
5a2567fb-3b3a-4c20-906d-2c156bf6df61,SO,9.9.9.9
9c0527f4-005a-4c0c-9486-d28ade55f65f,UG,1.1.1.1
30d67417-c0c5-4bf7-a2e0-9c597a825f49,UG,8.8.8.8
200eb0ae-56f9-4311-ac1c-6dc0aa9bbcba,UG,9.9.9.9
bc43b4ce-e5c3-4df9-91b8-85c5a9acd78c,LS,1.1.1.1
93a65b5c-2576-43cb-b8e2-b17292cc3e9a,LS,8.8.8.8
b6e9f019-cd6d-4be2-a0af-b446ab6cae38,LS,9.9.9.9
1f717237-bac1-4ec0-89d0-9e350c1a79b6,NA,1.1.1.1
866b824e-5a3d-428c-812e-1a768796768d,NA,8.8.8.8
969e921e-7e39-4144-9c1d-884badf52258,NA,9.9.9.9
43d579fe-4a8b-46d8-b077-42870fe65813,SZ,1.1.1.1
2be8f04d-e807-400d-a187-9be1f23cc4bf,SZ,8.8.8.8
773c470a-61b7-4cfd-bb1b-a87f7d53ffcf,SZ,9.9.9.9
3b50d897-b0cf-41da-91e3-71eb7c2a2078,ZA,1.1.1.1
1c5ed76c-422f-403b-acb0-cc4177cab6a1,ZA,8.8.8.8
4fbb66d0-7331-483f-978b-821f17cf7da2,ZA,9.9.9.9
e6db32e3-01fb-4757-9d49-ada3d863c0f9,DZ,1.1.1.1
825a8fcf-ed85-40dc-b42e-6697608918b7,DZ,8.8.8.8
6865a854-8ae6-40de-9acb-ef136f3a656d,DZ,9.9.9.9
2d6423a4-41d7-4a08-be93-9b7af2c34333,EH,1.1.1.1
8a7915d8-5223-4b16-b0a0-1823cab8a51c,EH,8.8.8.8
9eb924c7-5641-4d19-8084-626584d25288,EH,9.9.9.9
6e126d3f-ae90-4b45-a2db-31f69f2edc3d,LY,1.1.1.1
344bc927-647a-4f3a-ad7e-0ba7eca2a5a6,LY,8.8.8.8
7e505f16-993b-48e3-a031-4dfb86899924,LY,9.9.9.9
2f933530-5fab-438b-ace1-ddadf930f418,BF,1.1.1.1
cc8968f8-e0bc-4556-b121-97dfb224149b,BF,8.8.8.8
9e5c0bea-6974-43df-9e00-3b8462807611,BF,9.9.9.9
