ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
36947,Wireless80211,DZ,41.110.31.2,41.102.200.35,Algerie Telecom,90094f21-5fec-4966-a2f0-61ca9f3bd00b,/Date(1561112827197+0000)/,9.9.9.9,201,Refused
36947,Ethernet,DZ,41.110.30.2,197.200.124.165,Algerie Telecom,dfb13a42-3327-46bf-9aef-b62b4ca784c8,/Date(1561112827296+0000)/,9.9.9.9,193,Refused
36947,Wireless80211,DZ,41.110.32.2,197.206.189.19,Algerie Telecom,c420634f-acd9-426f-a9f4-5982bcdab4fc,/Date(1561112827696+0000)/,9.9.9.9,195,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.86.76,Algerie Telecom,054efe3f-585b-4856-9977-4024ba427244,/Date(1561112828063+0000)/,9.9.9.9,189,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.4.67,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561112830130+0000)/,9.9.9.9,230,NoError
36947,Wireless80211,DZ,8.0.26.132,105.101.205.219,Algerie Telecom,f0dfb4f9-9fbe-4223-ab37-e81100a99f35,/Date(1561112831366+0000)/,9.9.9.9,204,Refused
8452,Wireless80211,EG,156.220.162.0,156.220.162.251,TE Data,3f702235-ea4a-4bc4-8d91-5e3c00192c47,/Date(1561112826050+0000)/,1.1.1.1,112,ServFail
8452,Wireless80211,EG,156.220.162.0,156.220.162.251,TE Data,3f702235-ea4a-4bc4-8d91-5e3c00192c47,/Date(1561112835626+0000)/,8.8.8.8,4516,NoError
8452,Wireless80211,EG,156.220.162.0,156.220.162.251,TE Data,3f702235-ea4a-4bc4-8d91-5e3c00192c47,/Date(1561112860409+0000)/,9.9.9.9,4501,NoError
29614,Wireless80211,GH,41.210.7.0,41.210.7.178,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561112834224+0000)/,1.1.1.1,843,NoError
29614,Wireless80211,GH,41.210.7.0,41.210.7.178,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561112834142+0000)/,8.8.8.8,270,NoError
29614,Wireless80211,GH,41.210.7.0,41.210.7.178,Vodafone Ghana,ffe47ba1-4672-4ad9-84b0-430788c863d0,/Date(1561112835749+0000)/,9.9.9.9,6,Refused
37529,"Wireless80211,Ethernet",GQ,74.125.181.13,197.214.64.187,Gestora de Infraestructuras de Telecomunicaciones,3d71b34b-4303-4782-acbe-411b91b07a47,/Date(1561112839627+0000)/,1.1.1.1,1201,NoError
37529,"Wireless80211,Ethernet",GQ,74.125.181.13,197.214.64.187,Gestora de Infraestructuras de Telecomunicaciones,3d71b34b-4303-4782-acbe-411b91b07a47,/Date(1561112841585+0000)/,8.8.8.8,954,NoError
37529,"Wireless80211,Ethernet",GQ,74.125.181.13,197.214.64.187,Gestora de Infraestructuras de Telecomunicaciones,3d71b34b-4303-4782-acbe-411b91b07a47,/Date(1561112851607+0000)/,9.9.9.9,758,Refused
33771,Wireless80211,KE,41.203.211.3,41.80.68.194,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561112839006+0000)/,1.1.1.1,4028,NoError
33771,Wireless80211,KE,41.203.211.3,41.80.68.194,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561112840968+0000)/,8.8.8.8,3990,NoError
33771,Wireless80211,KE,41.203.211.3,41.80.68.194,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561112842030+0000)/,9.9.9.9,63,Refused
36903,Ethernet,MA,81.192.17.22,41.143.52.54,Maroc Telecom,c1111e0b-50e1-4626-a20e-1c2dbf967790,/Date(1561112833957+0000)/,1.1.1.1,183,NoError
36903,Wireless80211,MA,81.192.17.82,41.248.237.181,Maroc Telecom,8e3c4043-7d90-4be7-84b3-e9a2f8c5643a,/Date(1561112833963+0000)/,1.1.1.1,103,NoError
36903,Ethernet,MA,81.192.21.50,41.250.232.222,Maroc Telecom,2c0ee6f1-ac2b-4295-8e47-9a016898c5a7,/Date(1561112834395+0000)/,1.1.1.1,303,NoError
36903,"Ethernet,Ethernet,Wireless80211",MA,81.192.17.90,160.176.73.171,Maroc Telecom ADSL,d92755a1-3242-4138-ac6f-5a813e06e360,/Date(1561112835183+0000)/,1.1.1.1,413,NoError
36903,Ethernet,MA,81.192.17.86,105.154.203.1,Maroc Telecom,61bfaa0c-b853-4d01-b061-a864b6343195,/Date(1561112835588+0000)/,1.1.1.1,365,NoError
36903,Wireless80211,MA,81.192.17.82,196.206.63.64,Maroc Telecom,be49f85e-b899-464b-8c7b-45749ee558d6,/Date(1561112843997+0000)/,1.1.1.1,732,NoError
36903,Ethernet,MA,81.192.17.22,41.143.52.54,Maroc Telecom,c1111e0b-50e1-4626-a20e-1c2dbf967790,/Date(1561112835017+0000)/,8.8.8.8,143,NoError
36903,Wireless80211,MA,81.192.17.82,41.248.237.181,Maroc Telecom,8e3c4043-7d90-4be7-84b3-e9a2f8c5643a,/Date(1561112835020+0000)/,8.8.8.8,27,NoError
